green_channel,red_channel,ir_channel,Anomaly
61128,27316,41008,1
61442,27636,41604,0
61760,27955,42200,0
62066,28258,42771,0
62347,28529,43290,0
62597,28761,43744,0
62809,28952,44126,0
62974,29096,44427,0
63092,29195,44643,0
63169,29253,44783,0
63209,29276,44853,0
63211,29266,44857,0
63180,29224,44801,0
63121,29158,44697,0
63043,29079,44554,0
62951,28990,44382,0
62845,28891,44189,0
62735,28794,43989,0
62624,28700,43787,0
62514,28603,43583,0
62401,28500,43375,0
62288,28394,43170,0
62178,28293,42972,0
62070,28194,42779,0
61967,28098,42595,0
61873,28010,42425,0
61789,27930,42273,0
61715,27856,42136,0
61649,27787,42014,0
61593,27728,41910,0
61546,27679,41821,0
61508,27637,41741,0
61474,27600,41666,0
61446,27569,41592,0
61416,27536,41519,0
61379,27498,41441,0
61339,27456,41358,0
61296,27416,41272,0
61251,27378,41181,0
61203,27338,41083,0
61156,27296,40985,0
61112,27251,40891,0
61070,27207,40798,0
61024,27159,40704,0
60977,27111,40613,0
60934,27072,40532,0
60897,27042,40465,0
60866,27017,40411,0
60845,26998,40370,0
60831,26987,40344,0
60821,26982,40329,0
60814,26978,40321,0
60811,26975,40320,0
60818,26979,40330,0
60833,26989,40347,0
60851,27001,40365,0
60867,27016,40386,0
60882,27032,40414,0
60893,27048,40447,0
60904,27062,40481,0
60914,27076,40512,0
60919,27089,40536,0
60919,27094,40546,0
60914,27090,40546,0
60906,27082,40539,0
60898,27073,40521,0
60885,27061,40492,0
60868,27045,40456,0
60851,27031,40417,0
60835,27018,40376,0
60816,27002,40330,0
60793,26982,40277,0
60764,26960,40216,0
60731,26934,40151,0
60695,26906,40085,0
60660,26875,40018,0
60627,26842,39956,0
60596,26808,39899,0
60563,26772,39846,0
60530,26737,39795,0
60501,26705,39749,0
60475,26677,39709,0
60449,26649,39669,0
60423,26620,39629,0
60399,26594,39589,0
60379,26572,39549,0
60359,26551,39510,0
60338,26531,39473,0
60317,26513,39439,0
60294,26492,39406,0
60271,26470,39372,0
60250,26450,39339,0
60232,26435,39318,0
60217,26428,39305,0
60202,26423,39293,0
60191,26421,39281,0
60184,26421,39271,0
60180,26417,39258,0
60173,26409,39240,0
60165,26401,39222,0
60158,26397,39209,0
60151,26390,39196,0
60143,26380,39177,0
60136,26372,39155,0
60130,26368,39136,0
60122,26362,39117,0
60109,26350,39097,0
60095,26337,39080,0
60083,26324,39065,0
60072,26308,39049,0
60061,26291,39031,0
60050,26279,39013,0
60039,26273,39000,0
60030,26268,38986,0
60022,26264,38972,0
60020,26263,38962,0
60021,26262,38959,0
60020,26258,38956,0
60018,26255,38952,0
60019,26254,38947,0
60016,26254,38940,0
60009,26250,38928,0
59998,26246,38913,0
59986,26242,38898,0
59975,26238,38883,0
59962,26230,38865,0
59949,26221,38843,0
59939,26216,38820,0
59932,26214,38800,0
59927,26212,38780,0
59923,26208,38763,0
59919,26204,38754,0
59917,26203,38752,0
59919,26207,38758,0
59931,26219,38779,0
59960,26244,38821,0
60006,26286,38890,0
60072,26345,38989,0
60162,26425,39127,0
60282,26540,39320,0
60439,26696,39589,0
60635,26898,39951,0
60872,27145,40408,0
61145,27429,40943,0
61443,27737,41523,0
61752,28049,42116,0
62061,28356,42698,0
62353,28646,43246,0
62614,28906,43737,0
62838,29129,44153,0
63024,29310,44494,0
63171,29448,44759,0
63274,29541,44943,0
63333,29592,45050,0
63356,29606,45086,0
63346,29586,45057,0
63305,29536,44974,0
63242,29464,44851,0
63163,29379,44697,0
63066,29283,44518,0
62953,29173,44316,0
62834,29057,44099,0
62713,28939,43874,0
62589,28819,43644,0
62459,28694,43413,0
62329,28568,43187,0
62203,28446,42969,0
62085,28333,42759,0
61974,28228,42559,0
61875,28129,42374,0
61789,28037,42207,0
61709,27952,42057,0
61637,27878,41924,0
61575,27814,41806,0
61523,27761,41701,0
61473,27714,41606,0
61426,27670,41517,0
61383,27629,41432,0
61340,27593,41350,0
61293,27554,41266,0
61241,27510,41175,0
61187,27463,41082,0
61132,27417,40988,0
61077,27369,40896,0
61022,27320,40806,0
60973,27273,40720,0
60932,27234,40647,0
60895,27201,40586,0
60863,27172,40533,0
60837,27146,40488,0
60815,27127,40450,0
60795,27112,40420,0
60779,27101,40399,0
60770,27095,40390,0
60771,27094,40392,0
60778,27093,40401,0
60790,27094,40410,0
60806,27101,40423,0
60824,27115,40443,0
60844,27131,40470,0
60865,27149,40504,0
60888,27171,40543,0
60909,27195,40582,0
60924,27217,40617,0
60934,27235,40646,0
60943,27252,40669,0
60949,27265,40685,0
60951,27272,40692,0
60948,27272,40689,0
60943,27268,40679,0
60931,27258,40661,0
60913,27240,40633,0
60889,27217,40597,0
60861,27192,40557,0
60829,27166,40512,0
60797,27139,40460,0
60768,27109,40407,0
60742,27079,40353,0
60714,27050,40296,0
60683,27018,40232,0
60653,26988,40170,0
60626,26962,40112,0
60600,26936,40056,0
60576,26907,39998,0
60556,26880,39941,0
60536,26855,39887,0
60511,26827,39835,0
60483,26799,39788,0
60457,26774,39749,0
60434,26751,39716,0
60412,26727,39686,0
60393,26704,39657,0
60379,26686,39634,0
60367,26671,39616,0
60353,26656,39595,0
60339,26639,39573,0
60328,26627,39553,0
60321,26619,39537,0
60315,26613,39518,0
60309,26609,39500,0
60302,26605,39487,0
60295,26602,39477,0
60285,26594,39462,0
60275,26585,39444,0
60264,26580,39428,0
60253,26572,39411,0
60241,26561,39393,0
60231,26552,39378,0
60224,26547,39365,0
60217,26543,39354,0
60210,26536,39342,0
60206,26530,39330,0
60206,26527,39317,0
60202,26521,39305,0
60195,26511,39293,0
60188,26501,39283,0
60181,26494,39273,0
60169,26483,39259,0
60152,26470,39239,0
60133,26459,39216,0
60115,26448,39192,0
60095,26435,39167,0
60077,26420,39140,0
60063,26405,39116,0
60053,26395,39099,0
60041,26383,39082,0
60025,26365,39062,0
60014,26348,39043,0
60006,26334,39024,0
59996,26322,39005,0
59984,26314,38985,0
59972,26313,38971,0
59963,26322,38968,0
59961,26336,38975,0
59973,26354,38990,0
60006,26384,39024,0
60059,26433,39088,0
60129,26500,39186,0
60219,26585,39327,0
60340,26704,39534,0
60502,26866,39825,0
60708,27075,40207,0
60956,27327,40676,0
61238,27613,41219,0
61538,27918,41805,0
61844,28229,42400,0
62145,28531,42973,0
62429,28813,43508,0
62685,29064,43985,0
62903,29273,44390,0
63084,29439,44718,0
63225,29564,44969,0
63322,29645,45142,0
63377,29683,45234,0
63400,29689,45257,0
63395,29669,45224,0
63362,29624,45140,0
63303,29557,45012,0
63225,29474,44851,0
63134,29382,44669,0
63031,29282,44470,0
62917,29174,44257,0
62798,29063,44041,0
62678,28954,43829,0
62558,28845,43617,0
62440,28734,43405,0
62331,28627,43198,0
62229,28526,43002,0
62133,28430,42818,0
62042,28338,42646,0
61960,28253,42488,0
61887,28177,42346,0
61819,28104,42215,0
61753,28031,42091,0
61692,27963,41980,0
61637,27907,41881,0
61588,27859,41786,0
61540,27813,41691,0
61493,27773,41598,0
61447,27734,41505,0
61404,27691,41412,0
61362,27646,41319,0
61318,27604,41232,0
61274,27567,41151,0
61227,27533,41073,0
61179,27497,40999,0
61137,27465,40937,0
61102,27439,40886,0
61073,27417,40842,0
61053,27399,40806,0
61043,27388,40778,0
61040,27382,40757,0
61038,27379,40743,0
61040,27379,40737,0
61046,27385,40739,0
61053,27394,40746,0
61061,27402,40755,0
61070,27412,40771,0
61085,27427,40793,0
61105,27443,40818,0
61129,27459,40843,0
61155,27479,40871,0
61179,27502,40907,0
61201,27522,40946,0
61218,27535,40983,0
61232,27544,41014,0
61240,27553,41038,0
61241,27557,41048,0
61237,27557,41046,0
61229,27552,41033,0
61219,27544,41010,0
