green_channel,red_channel,ir_channel,Anomaly
43021,21636,16744,0
42953,21585,16653,0
42882,21537,16558,0
42807,21490,16458,0
42727,21443,16355,0
42647,21396,16247,0
42560,21344,16131,0
42468,21285,16011,0
42374,21223,15889,0
42281,21159,15767,0
42185,21095,15647,0
42091,21030,15529,0
42006,20970,15415,0
41927,20916,15306,0
41853,20865,15202,0
41786,20818,15108,0
41731,20781,15030,0
41690,20751,14972,0
41662,20730,14936,0
41645,20717,14919,0
41638,20714,14919,0
41642,20718,14934,0
41653,20729,14962,0
41672,20750,14998,0
41703,20779,15041,0
41746,20812,15091,0
41793,20845,15146,0
41842,20877,15204,0
41894,20913,15269,0
41947,20949,15340,0
41997,20982,15412,0
42042,21009,15478,0
42082,21035,15537,0
42118,21062,15587,0
42145,21086,15628,0
42163,21108,15660,0
42180,21128,15683,0
42196,21147,15695,0
42205,21162,15695,0
42205,21168,15682,0
42198,21161,15656,0
42184,21143,15620,0
42164,21119,15576,0
42138,21088,15524,0
42102,21053,15467,0
42057,21015,15408,0
42007,20975,15344,0
41952,20931,15273,0
41890,20887,15195,0
41820,20843,15111,0
41742,20796,15014,0
41660,20744,14906,0
41575,20688,14795,0
41489,20627,14681,0
41402,20560,14565,0
41316,20493,14452,0
41231,20430,14344,0
41140,20368,14237,0
41045,20307,14126,0
40950,20247,14014,0
40857,20187,13904,0
40767,20126,13791,0
40682,20063,13673,0
40600,20001,13552,0
40518,19942,13432,0
40436,19889,13318,0
40358,19838,13207,0
40284,19787,13099,0
40214,19737,12998,0
40144,19691,12904,0
40076,19647,12815,0
40011,19606,12732,0
39946,19565,12652,0
39880,19522,12577,0
39815,19481,12508,0
39753,19442,12443,0
39689,19402,12377,0
39622,19362,12303,0
39562,19324,12226,0
39509,19291,12150,0
39460,19260,12080,0
39414,19230,12011,0
39374,19200,11941,0
39338,19172,11874,0
39299,19144,11816,0
39253,19116,11762,0
39205,19087,11708,0
39157,19059,11655,0
39111,19032,11604,0
39071,19008,11559,0
39039,18989,11517,0
39012,18971,11476,0
38985,18953,11436,0
38958,18935,11398,0
38931,18921,11361,0
38906,18907,11323,0
38878,18889,11284,0
38848,18867,11241,0
38816,18847,11199,0
38780,18827,11157,0
38736,18803,11112,0
38687,18772,11058,0
38638,18735,10997,0
38588,18697,10932,0
38535,18661,10869,0
38486,18631,10807,0
38446,18607,10749,0
38410,18585,10698,0
38372,18561,10648,0
38330,18534,10593,0
38287,18507,10537,0
38241,18481,10478,0
38193,18452,10414,0
38139,18418,10350,0
38081,18381,10285,0
38019,18340,10217,0
37958,18297,10144,0
37899,18255,10065,0
37840,18211,9980,0
37777,18170,9891,0
37714,18131,9803,0
37652,18093,9718,0
37591,18054,9639,0
37522,18012,9561,0
37444,17969,9476,0
37360,17923,9386,0
37276,17878,9296,0
37192,17834,9205,0
37107,17788,9113,0
37024,17740,9018,0
36940,17689,8920,0
36851,17634,8813,0
36759,17574,8698,0
36669,17511,8579,0
36581,17447,8457,0
36490,17379,8331,0
36395,17311,8201,0
36297,17242,8072,0
36199,17174,7942,0
36098,17107,7810,0
36000,17043,7680,0
35910,16986,7559,0
35831,16935,7449,0
35761,16891,7351,0
35702,16854,7270,0
35662,16828,7218,0
35649,16822,7207,0
35673,16842,7251,0
35749,16900,7370,0
35896,17007,7582,0
36118,17165,7895,0
36409,17370,8306,0
36767,17618,8805,0
37185,17903,9375,0
37644,18214,9988,0
38121,18537,10620,0
38603,18863,11256,0
39079,19181,11880,0
39537,19485,12477,0
39967,19767,13036,0
