green_channel,red_channel,ir_channel,Anomaly_ch0
54161,28068,54617,1
54083,28019,54520,1
54003,27969,54422,1
53920,27920,54322,1
53834,27872,54218,1
53745,27823,54111,1
53656,27772,54000,1
53568,27724,53889,1
53485,27681,53783,1
53407,27644,53682,1
53336,27612,53587,1
53271,27586,53497,1
53216,27563,53418,1
53169,27543,53349,1
53130,27523,53290,1
53098,27504,53237,1
53075,27486,53194,1
53060,27474,53162,1
53049,27465,53144,1
53046,27465,53138,1
53050,27473,53144,1
53062,27488,53160,1
53079,27508,53186,1
53102,27536,53222,1
53130,27572,53267,1
53162,27613,53319,1
53196,27657,53377,1
53232,27705,53441,1
53272,27755,53509,1
53312,27805,53581,1
53352,27855,53657,1
53389,27906,53737,1
53422,27956,53816,1
53445,28003,53890,1
53459,28045,53955,1
53465,28081,54012,1
53463,28109,54055,1
53450,28129,54083,1
53423,28138,54095,1
53384,28135,54090,1
53337,28124,54069,1
53281,28106,54036,1
53221,28085,53990,1
53159,28059,53930,1
53095,28027,53855,1
53029,27989,53768,1
52965,27949,53675,1
52905,27910,53579,1
52851,27869,53486,1
52804,27828,53398,1
52761,27787,53316,1
52721,27748,53240,1
52685,27711,53168,1
52652,27675,53100,1
52625,27643,53036,1
52605,27615,52974,1
52591,27587,52917,1
52582,27556,52861,1
52575,27521,52800,1
52572,27485,52731,1
52570,27449,52655,1
52568,27409,52573,1
52564,27364,52489,1
52556,27316,52404,1
52543,27270,52320,1
52526,27225,52244,1
52506,27185,52177,1
52480,27151,52119,1
52451,27121,52070,1
52420,27097,52030,1
52387,27080,51998,1
52353,27066,51970,1
52317,27053,51940,1
52282,27037,51907,1
52251,27018,51867,1
52222,26996,51821,1
52196,26968,51770,1
52174,26937,51713,1
52156,26903,51649,1
52140,26866,51581,1
52125,26826,51514,1
52110,26785,51449,1
52097,26748,51390,1
52085,26714,51339,1
52073,26686,51301,1
52062,26669,51275,1
52054,26662,51259,1
52046,26662,51250,1
52039,26665,51245,1
52033,26671,51240,1
52026,26677,51233,1
52016,26679,51227,1
52000,26677,51220,1
51982,26671,51211,1
51962,26664,51197,1
51943,26655,51179,1
51925,26646,51159,1
51911,26639,51141,1
51901,26635,51130,1
51897,26638,51132,1
51905,26651,51156,1
51932,26682,51207,1
51983,26735,51294,1
52064,26812,51428,1
52177,26919,51616,1
52325,27057,51860,1
52503,27225,52155,1
52705,27417,52494,1
52922,27625,52861,1
53146,27839,53239,1
53367,28052,53614,1
53577,28258,53978,1
53773,28453,54322,1
53951,28635,54642,1
54111,28801,54929,1
54248,28946,55178,1
54362,29065,55386,1
54452,29155,55547,1
54517,29217,55664,1
54560,29256,55740,1
54583,29275,55781,1
54591,29279,55792,1
54589,29271,55780,1
54579,29253,55751,1
54563,29228,55703,1
54544,29199,55642,1
54522,29166,55574,1
54497,29123,55498,1
