green_channel,red_channel,ir_channel,Anomaly_ch2
23009,47094,10287,0
22923,47020,10152,0
22842,46947,10019,0
22761,46873,9887,0
22682,46802,9758,0
22606,46736,9634,0
22531,46670,9515,0
22453,46603,9396,0
22370,46535,9279,0
22286,46466,9165,0
22201,46394,9051,0
22112,46318,8929,0
22022,46242,8804,0
21934,46172,8680,0
21851,46109,8566,0
21783,46063,8472,0
21748,46045,8418,0
21761,46066,8428,0
21838,46142,8528,0
21995,46284,8749,0
22249,46511,9127,0
22615,46839,9698,0
23105,47275,10475,0
23706,47808,11433,0
24383,48410,12515,0
25092,49041,13654,0
25795,49668,14790,0
26469,50269,15877,0
27098,50831,16888,0
27673,51340,17799,0
28181,51784,18593,0
28614,52158,19265,0
28974,52464,19817,0
29266,52710,20261,0
29494,52899,20610,0
29663,53032,20874,0
29785,53121,21067,0
29867,53180,21201,0
29912,53215,21282,0
29927,53230,21315,0
29924,53227,21308,0
29910,53211,21277,0
29887,53185,21228,0
29851,53154,21159,0
29805,53121,21078,0
29753,53084,20996,0
29696,53038,20910,0
29640,52987,20816,0
29589,52938,20718,0
29538,52890,20617,0
29478,52835,20510,0
29412,52773,20402,0
29346,52705,20296,0
29276,52634,20191,0
29201,52562,20080,0
29119,52487,19958,0
29030,52411,19825,0
28935,52330,19681,0
28835,52243,19525,0
28731,52152,19363,0
28627,52058,19201,0
28518,51964,19042,0
28408,51874,18886,0
28308,51793,18738,0
28223,51721,18606,0
28151,51657,18494,0
28087,51601,18399,0
28029,51554,18320,0
27982,51518,18257,0
27943,51494,18211,0
27911,51474,18180,0
27883,51460,18157,0
27858,51453,18139,0
27842,51450,18126,0
27835,51450,18119,0
27834,51453,18117,0
27833,51452,18112,0
27826,51447,18101,0
27815,51442,18082,0
27804,51436,18060,0
27793,51426,18035,0
27778,51408,17996,0
27753,51381,17941,0
27719,51345,17875,0
27675,51298,17803,0
27619,51240,17714,0
27551,51174,17604,0
27473,51101,17480,0
27385,51021,17343,0
27287,50933,17195,0
27188,50844,17038,0
27089,50754,16878,0
26982,50660,16714,0
26869,50564,16546,0
26758,50471,16379,0
26652,50381,16215,0
26547,50288,16052,0
26440,50194,15887,0
26333,50099,15720,0
26226,50003,15553,0
26117,49907,15388,0
26006,49813,15224,0
25901,49722,15062,0
25805,49634,14905,0
25712,49549,14756,0
25618,49469,14611,0
25527,49391,14465,0
25439,49313,14320,0
25354,49238,14182,0
25264,49165,14045,0
25168,49088,13900,0
25068,49005,13752,0
24965,48912,13600,0
24857,48816,13443,0
24746,48721,13285,0
24632,48623,13128,0
24510,48522,12969,0
24383,48420,12806,0
24258,48321,12645,0
24140,48223,12486,0
24026,48125,12322,0
23915,48030,12149,0
23810,47940,11974,0
23708,47850,11801,0
23604,47763,11630,0
23503,47679,11463,0
23408,47597,11300,0
23313,47512,11137,0
23213,47425,10975,0
23110,47339,10815,0
23007,47256,10657,0
22904,47173,10501,0
22798,47085,10348,0
22693,46996,10196,0
22597,46911,10045,0
22505,46828,9894,0
22413,46746,9748,0
22321,46665,9608,0
22232,46583,9471,0
22147,46503,9333,0
22063,46427,9197,0
21983,46356,9072,0
21904,46289,8959,0
21824,46223,8852,0
21747,46161,8746,0
21673,46101,8643,0
21598,46040,8539,0
21518,45977,8433,0
