green_channel,red_channel,ir_channel,Anomaly_ch2,Anomaly_ch0
59272,20709,9995,0,0
59176,20640,9868,0,0
59087,20574,9741,0,0
58995,20506,9613,0,0
58890,20429,9473,0,0
58786,20347,9326,0,0
58696,20275,9187,0,0
58607,20208,9050,0,0
58510,20140,8905,0,0
58413,20074,8758,0,0
58320,20017,8619,0,0
58222,19962,8478,0,0
58117,19902,8329,0,0
58015,19841,8182,0,0
57924,19785,8047,0,0
57831,19727,7916,0,0
57730,19662,7781,0,0
57635,19599,7644,0,0
57549,19541,7513,0,0
57460,19479,7383,0,0
57357,19408,7247,0,0
57253,19337,7110,0,0
57162,19277,6981,0,0
57072,19218,6854,0,0
56973,19152,6717,0,0
56871,19085,6578,0,0
56776,19023,6439,0,0
56682,18963,6298,0,0
56585,18900,6155,0,0
56489,18839,6015,0,0
56397,18783,5883,0,0
56304,18725,5756,0,0
56212,18665,5635,0,0
56130,18610,5525,0,0
56053,18559,5422,0,0
55973,18505,5317,0,0
55899,18453,5217,0,0
55837,18408,5129,0,0
55774,18366,5047,0,0
55703,18320,4957,0,0
55635,18276,4868,0,0
55583,18242,4787,0,0
55533,18209,4704,0,0
55476,18170,4613,0,0
55421,18131,4524,0,0
55366,18098,4442,0,0
55301,18063,4356,0,0
55226,18022,4257,0,0
55152,17977,4152,0,0
55078,17934,4046,0,0
54997,17887,3931,0,0
54906,17829,3799,0,0
54812,17766,3664,0,0
54715,17704,3535,0,0
54610,17638,3403,0,0
54500,17565,3261,0,0
54401,17495,3123,0,0
54318,17436,3004,0,0
54243,17384,2902,0,0
54185,17340,2821,0,0
54170,17325,2793,0,0
54210,17355,2853,0,0
54312,17429,3008,0,0
54489,17552,3264,0,0
54763,17743,3643,0,0
55132,18004,4152,0,0
55571,18312,4764,0,0
56065,18647,5451,0,0
56608,19011,6200,0,0
57176,19393,6988,0,0
57733,19768,7775,0,0
58263,20125,8536,0,0
58776,20464,9266,0,0
59267,20784,9953,0,0
59707,21071,10578,0,0
60090,21327,11137,0,0
60427,21555,11639,0,0
60713,21751,12075,0,0
60941,21906,12430,0,0
61123,22027,12716,0,0
61270,22126,12946,0,0
61379,22199,13117,0,0
61447,22239,13221,0,0
61486,22257,13270,0,0
61505,22266,13287,0,0
61502,22262,13275,0,0
61474,22241,13232,0,0
61437,22213,13169,0,0
61397,22182,13101,0,0
61348,22147,13026,0,0
61292,22103,12943,0,0
61242,22058,12858,0,0
61197,22021,12783,0,0
61151,21988,12713,0,0
61103,21952,12640,0,0
61063,21919,12573,0,0
61037,21897,12521,0,0
61012,21877,12476,0,0
60980,21852,12427,0,0
60955,21832,12387,0,0
60940,21821,12366,0,0
60916,21808,12345,0,0
60881,21785,12310,0,0
60855,21767,12270,0,0
60840,21756,12233,0,0
60817,21736,12185,0,0
60771,21698,12115,0,0
