green_channel,red_channel,ir_channel,Anomaly
35763,43286,23293,1
35778,43316,23288,0
35757,43286,23239,0
35749,43265,23207,0
35813,43329,23262,0
35891,43406,23336,0
35915,43413,23352,0
35932,43421,23370,0
36003,43502,23457,0
36077,43586,23549,0
36097,43609,23586,0
36112,43630,23631,0
36168,43707,23728,0
36216,43769,23808,0
36216,43762,23824,0
36219,43757,23848,0
36257,43802,23909,0
36273,43820,23928,0
36237,43774,23883,0
36209,43739,23858,0
36213,43743,23871,0
36184,43708,23836,0
36111,43622,23751,0
36063,43571,23701,0
36043,43555,23674,0
35978,43484,23582,0
35872,43360,23437,0
35792,43274,23327,0
35726,43215,23229,0
35607,43091,23057,0
35456,42925,22844,0
35346,42810,22683,0
35253,42721,22542,0
35114,42574,22340,0
34959,42409,22125,0
34860,42316,21982,0
34787,42250,21861,0
34675,42127,21682,0
34560,41998,21503,0
34504,41944,21396,0
34464,41904,21296,0
34371,41798,21126,0
34269,41686,20946,0
34222,41644,20836,0
34178,41605,20732,0
34074,41492,20555,0
33967,41377,20375,0
33920,41332,20262,0
33873,41288,20153,0
33768,41175,19983,0
33667,41063,19822,0
33624,41014,19732,0
33576,40959,19639,0
33479,40844,19493,0
33389,40742,19365,0
33342,40697,19286,0
33285,40635,19176,0
33195,40527,19027,0
33135,40456,18921,0
33118,40439,18857,0
33074,40386,18748,0
32992,40288,18598,0
32938,40231,18496,0
32917,40213,18433,0
32862,40143,18325,0
32779,40036,18183,0
32737,39981,18087,0
32717,39957,18016,0
32647,39872,17889,0
32547,39759,17739,0
32500,39718,17660,0
32492,39721,17627,0
32449,39676,17557,0
32404,39625,17497,0
32440,39671,17548,0
32536,39778,17676,0
32620,39861,17802,0
32733,39977,17981,0
32950,40220,18304,0
33229,40528,18713,0
33490,40797,19116,0
33770,41082,19565,0
34131,41468,20132,0
34508,41879,20738,0
34828,42221,21298,0
35146,42561,21869,0
35523,42978,22514,0
35896,43392,23151,0
36201,43724,23705,0
36497,44038,24246,0
36834,44398,24824,0
37140,44722,25350,0
37362,44952,25766,0
37561,45165,26149,0
37779,45408,26543,0
37955,45594,26867,0
38049,45689,27090,0
38126,45780,27290,0
38212,45888,27478,0
38242,45919,27566,0
38207,45870,27558,0
38187,45845,27552,0
38183,45848,27549,0
38122,45787,27466,0
38017,45673,27331,0
37942,45601,27233,0
37887,45558,27146,0
37783,45452,26983,0
37649,45304,26776,0
37564,45206,26620,0
37505,45134,26485,0
37395,45006,26283,0
37264,44859,26059,0
37185,44781,25902,0
37127,44722,25762,0
37013,44593,25555,0
36880,44450,25333,0
36802,44383,25181,0
36739,44328,25037,0
36622,44193,24819,0
36501,44046,24600,0
36443,43981,24462,0
36391,43928,24326,0
36281,43799,24120,0
36171,43666,23928,0
36132,43620,23831,0
36113,43597,23756,0
36052,43518,23632,0
36003,43449,23529,0
36022,43465,23512,0
36048,43491,23506,0
36026,43459,23452,0
36013,43439,23428,0
36051,43480,23471,0
36081,43506,23496,0
36066,43476,23478,0
36075,43482,23504,0
36131,43552,23588,0
36161,43589,23638,0
36157,43576,23649,0
36194,43609,23708,0
36274,43691,23808,0
36319,43725,23857,0
36329,43716,23871,0
36372,43763,23935,0
36434,43844,24027,0
36435,43857,24049,0
36394,43823,24032,0
36392,43840,24065,0
36409,43882,24111,0
36374,43855,24082,0
36313,43795,24020,0
36299,43794,24009,0
36306,43809,24005,0
36256,43748,23924,0
36179,43659,23820,0
36145,43627,23772,0
36120,43595,23719,0
36030,43481,23580,0
35924,43352,23423,0
35875,43298,23333,0
35835,43255,23248,0
35737,43144,23087,0
35636,43029,22918,0
35593,42982,22813,0
35543,42931,22705,0
35430,42811,22531,0
35322,42699,22364,0
35278,42658,22266,0
35237,42612,22157,0
35149,42503,21985,0
35071,42404,21830,0
35042,42370,21739,0
34995,42321,21629,0
34901,42217,21468,0
34830,42141,21343,0
34803,42117,21267,0
34747,42056,21149,0
34653,41945,20986,0
34588,41875,20875,0
34554,41851,20812,0
34484,41779,20698,0
34383,41671,20549,0
34332,41627,20466,0
34320,41623,20423,0
34265,41559,20324,0
34175,41457,20192,0
34129,41413,20125,0
34115,41404,20089,0
34062,41339,19990,0
33989,41249,19869,0
33958,41218,19812,0
33939,41203,19765,0
33870,41121,19649,0
33794,41026,19527,0
33772,41004,19482,0
33763,40998,19450,0
33701,40919,19345,0
33634,40836,19234,0
33630,40836,19199,0
33636,40850,19177,0
33586,40795,19097,0
33539,40756,19038,0
33573,40817,19082,0
33645,40909,19173,0
33699,40966,19248,0
33798,41068,19391,0
34006,41288,19676,0
34262,41555,20033,0
34508,41806,20408,0
34799,42108,20868,0
35167,42504,21447,0
35541,42907,22054,0
35876,43264,22642,0
36238,43654,23289,0
36657,44110,24006,0
37058,44544,24694,0
37415,44924,25329,0
37792,45328,25987,0
38187,45752,26663,0
38515,46100,27249,0
38768,46368,27740,0
39020,46645,28225,0
39264,46919,28688,0
39431,47102,29037,0
39538,47221,29294,0
39663,47371,29556,0
39789,47521,29797,0
39837,47580,29926,0
39836,47585,29982,0
39867,47629,30057,0
39901,47673,30115,0
39862,47630,30072,0
39784,47546,29982,0
39740,47513,29935,0
39695,47480,29870,0
39582,47357,29701,0
39459,47219,29509,0
39408,47167,29392,0
39368,47123,29279,0
39259,46996,29087,0
39151,46866,28896,0
39114,46815,28785,0
39077,46757,28674,0
38966,46613,28480,0
38842,46467,28273,0
38772,46399,28129,0
38694,46322,27977,0
38552,46171,27759,0
38416,46034,27556,0
38338,45965,27410,0
38252,45871,27236,0
38118,45713,27008,0
38007,45590,26822,0
37951,45536,26702,0
37879,45452,26556,0
37780,45330,26387,0
37730,45271,26290,0
37730,45271,26255,0
37692,45222,26177,0
37618,45136,26070,0
37595,45124,26039,0
37623,45172,26063,0
37622,45171,26043,0
37607,45140,26009,0
37653,45185,26056,0
37727,45270,26145,0
37746,45284,26171,0
37741,45266,26173,0
37795,45322,26252,0
37869,45405,26350,0
37877,45409,26361,0
37855,45384,26350,0
37890,45433,26424,0
37938,45499,26516,0
37918,45481,26524,0
37892,45458,26520,0
37942,45525,26597,0
