green_channel,red_channel,ir_channel,Anomaly_ch0,Anomaly_ch1,Anomaly_ch2
20507,5577,13656,0,0,0
20415,5536,13574,0,0,0
20332,5499,13494,0,0,0
20249,5465,13413,0,0,0
20157,5427,13324,0,0,0
20068,5389,13234,0,0,0
19992,5354,13153,0,0,0
19921,5321,13079,0,0,0
19846,5284,13004,0,0,0
19771,5245,12930,0,0,0
19703,5209,12864,0,0,0
19632,5174,12802,0,0,0
19554,5136,12740,0,0,0
19482,5100,12684,0,0,0
19427,5073,12633,0,0,0
19377,5049,12583,0,0,0
19327,5022,12530,0,0,0
19291,4997,12475,0,0,0
19272,4980,12427,0,0,0
19255,4967,12384,0,0,0
19226,4952,12339,0,0,0
19189,4935,12296,0,0,0
19150,4919,12257,0,0,0
19102,4900,12217,0,0,0
19041,4875,12172,0,0,0
18984,4848,12123,0,0,0
18930,4820,12074,0,0,0
18865,4788,12017,0,0,0
18791,4753,11950,0,0,0
18728,4723,11883,0,0,0
18678,4699,11824,0,0,0
18625,4677,11769,0,0,0
18574,4657,11720,0,0,0
18541,4645,11689,0,0,0
18531,4646,11682,0,0,0
18540,4658,11697,0,0,0
18573,4683,11729,0,0,0
18646,4725,11791,0,0,0
18756,4780,11891,0,0,0
18888,4843,12020,0,0,0
19045,4915,12173,0,0,0
19237,5001,12359,0,0,0
19457,5102,12577,0,0,0
19690,5213,12815,0,0,0
19938,5335,13068,0,0,0
20206,5469,13338,0,0,0
20480,5609,13624,0,0,0
20749,5749,13914,0,0,0
21022,5889,14208,0,0,0
21302,6031,14507,0,0,0
21576,6170,14801,0,0,0
21831,6298,15079,0,0,0
22071,6414,15337,0,0,0
22301,6521,15577,0,0,0
22507,6617,15789,0,0,0
22677,6694,15966,0,0,0
22820,6754,16109,0,0,0
22939,6802,16226,0,0,0
23028,6839,16317,0,0,0
23078,6862,16380,0,0,0
23104,6876,16420,0,0,0
23113,6886,16444,0,0,0
23098,6887,16448,0,0,0
23062,6875,16433,0,0,0
23023,6856,16406,0,0,0
22990,6837,16379,0,0,0
22954,6818,16352,0,0,0
22919,6795,16324,0,0,0
22899,6778,16300,0,0,0
22894,6772,16288,0,0,0
22887,6771,16280,0,0,0
22878,6771,16271,0,0,0
22882,6776,16266,0,0,0
22896,6787,16272,0,0,0
22903,6797,16281,0,0,0
22904,6801,16285,0,0,0
22906,6804,16291,0,0,0
22903,6803,16296,0,0,0
22882,6792,16293,0,0,0
22850,6775,16279,0,0,0
22824,6760,16262,0,0,0
22807,6751,16249,0,0,0
22788,6743,16236,0,0,0
22767,6735,16217,0,0,0
22753,6730,16196,0,0,0
22744,6730,16175,0,0,0
22728,6728,16148,0,0,0
22710,6723,16115,0,0,0
22694,6715,16082,0,0,0
22678,6705,16053,0,0,0
22655,6689,16020,0,0,0
22631,6671,15984,0,0,0
22614,6659,15956,0,0,0
22598,6649,15937,0,0,0
22575,6638,15923,0,0,0
22556,6630,15915,0,0,0
22544,6628,15917,0,0,0
22531,6629,15920,0,0,0
22511,6625,15918,0,0,0
22494,6619,15914,0,0,0
22492,6617,15915,0,0,0
22489,6612,15912,0,0,0
22477,6601,15901,0,0,0
22466,6589,15890,0,0,0
22459,6582,15883,0,0,0
22451,6576,15878,0,0,0
22439,6569,15871,0,0,0
22436,6569,15866,0,0,0
22438,6573,15864,0,0,0
22427,6566,15858,0,0,0
22403,6550,15842,0,0,0
22376,6533,15819,0,0,0
22350,6515,15794,0,0,0
22310,6492,15763,0,0,0
22256,6462,15722,0,0,0
22201,6428,15671,0,0,0
22150,6394,15616,0,0,0
22095,6360,15553,0,0,0
22041,6328,15486,0,0,0
21994,6304,15426,0,0,0
21946,6284,15372,0,0,0
21886,6262,15317,0,0,0
21820,6240,15259,0,0,0
21759,6221,15201,0,0,0
21702,6200,15141,0,0,0
21639,6171,15077,0,0,0
21578,6139,15009,0,0,0
21531,6113,14945,0,0,0
21489,6087,14888,0,0,0
21442,6059,14832,0,0,0
21399,6033,14773,0,0,0
21365,6012,14717,0,0,0
21326,5991,14661,0,0,0
21272,5964,14598,0,0,0
21211,5936,14532,0,0,0
21147,5909,14465,0,0,0
21073,5879,14395,0,0,0
20991,5842,14319,0,0,0
20915,5803,14242,0,0,0
20855,5769,14172,0,0,0
20798,5736,14108,0,0,0
20738,5702,14044,0,0,0
20686,5673,13988,0,0,0
20648,5657,13942,0,0,0
20609,5648,13900,0,0,0
20562,5637,13851,0,0,0
20519,5622,13800,0,0,0
20480,5606,13752,0,0,0
20430,5586,13704,0,0,0
20373,5558,13650,0,0,0
20321,5529,13591,0,0,0
20280,5504,13534,0,0,0
20239,5480,13481,0,0,0
20199,5455,13431,0,0,0
20173,5439,13386,0,0,0
20157,5430,13348,0,0,0
20134,5422,13314,0,0,0
20101,5408,13279,0,0,0
20070,5396,13249,0,0,0
20038,5386,13220,0,0,0
19990,5371,13179,0,0,0
19925,5347,13127,0,0,0
19854,5319,13072,0,0,0
19777,5285,13013,0,0,0
19691,5245,12942,0,0,0
19603,5201,12863,0,0,0
19522,5161,12783,0,0,0
19450,5125,12704,0,0,0
19383,5091,12628,0,0,0
19328,5059,12556,0,0,0
19291,5034,12498,0,0,0
19272,5016,12453,0,0,0
19261,5001,12420,0,0,0
19262,4995,12410,0,0,0
19286,5006,12430,0,0,0
19331,5034,12476,0,0,0
19393,5072,12548,0,0,0
19487,5124,12650,0,0,0
19619,5196,12782,0,0,0
19768,5283,12938,0,0,0
19931,5375,13117,0,0,0
20124,5468,13323,0,0,0
20348,5573,13563,0,0,0
20589,5685,13829,0,0,0
20835,5803,14109,0,0,0
21093,5931,14400,0,0,0
21370,6070,14700,0,0,0
21651,6209,15004,0,0,0
21923,6343,15303,0,0,0
22189,6473,15595,0,0,0
22450,6601,15876,0,0,0
22691,6722,16135,0,0,0
22913,6833,16367,0,0,0
23121,6934,16576,0,0,0
23306,7025,16762,0,0,0
23450,7098,16913,0,0,0
23554,7151,17028,0,0,0
23633,7190,17115,0,0,0
23686,7221,17178,0,0,0
23704,7239,17218,0,0,0
23695,7245,17234,0,0,0
23677,7244,17237,0,0,0
23653,7237,17233,0,0,0
23617,7221,17219,0,0,0
23575,7195,17190,0,0,0
23543,7166,17157,0,0,0
23519,7140,17125,0,0,0
23500,7119,17094,0,0,0
23498,7108,17070,0,0,0
23523,7113,17061,0,0,0
23558,7131,17062,0,0,0
23581,7152,17066,0,0,0
23601,7171,17075,0,0,0
23622,7187,17090,0,0,0
23631,7197,17104,0,0,0
23620,7197,17108,0,0,0
23598,7190,17103,0,0,0
23568,7179,17089,0,0,0
23525,7162,17063,0,0,0
23463,7137,17025,0,0,0
23397,7110,16982,0,0,0
23342,7087,16942,0,0,0
23293,7065,16901,0,0,0
23248,7041,16856,0,0,0
23224,7021,16814,0,0,0
23224,7013,16783,0,0,0
23231,7014,16759,0,0,0
23234,7014,16736,0,0,0
23238,7015,16712,0,0,0
23241,7019,16694,0,0,0
23229,7020,16678,0,0,0
23202,7010,16659,0,0,0
23172,6992,16638,0,0,0
23142,6970,16618,0,0,0
23101,6940,16587,0,0,0
23050,6907,16543,0,0,0
23009,6880,16498,0,0,0
22979,6861,16457,0,0,0
22948,6845,16420,0,0,0
22915,6828,16385,0,0,0
22894,6816,16361,0,0,0
22878,6810,16351,0,0,0
22853,6806,16346,0,0,0
22825,6802,16338,0,0,0
22806,6803,16333,0,0,0
22788,6805,16331,0,0,0
22755,6794,16321,0,0,0
22706,6770,16295,0,0,0
22655,6739,16259,0,0,0
22604,6709,16217,0,0,0
22549,6680,16172,0,0,0
22497,6653,16126,0,0,0
22455,6633,16086,0,0,0
22415,6618,16048,0,0,0
22363,6602,16004,0,0,0
22308,6584,15953,0,0,0
22256,6565,15902,0,0,0
22198,6544,15852,0,0,0
22128,6517,15794,0,0,0
22053,6486,15729,0,0,0
21985,6455,15660,0,0,0
21914,6418,15586,0,0,0
21839,6376,15504,0,0,0
21774,6339,15422,0,0,0
21721,6310,15350,0,0,0
21666,6285,15284,0,0,0
21606,6255,15218,0,0,0
21552,6228,15157,0,0,0
21512,6208,15103,0,0,0
21466,6188,15050,0,0,0
21406,6159,14994,0,0,0
21346,6125,14935,0,0,0
21294,6095,14875,0,0,0
21245,6066,14810,0,0,0
21196,6037,14740,0,0,0
21157,6015,14675,0,0,0
21121,5999,14619,0,0,0
21074,5976,14566,0,0,0
21018,5949,14510,0,0,0
20969,5924,14454,0,0,0
20922,5900,14400,0,0,0
20862,5871,14340,0,0,0
20792,5837,14271,0,0,0
20732,5806,14204,0,0,0
20685,5778,14142,0,0,0
20639,5751,14081,0,0,0
20600,5728,14029,0,0,0
20582,5715,13992,0,0,0
20576,5709,13968,0,0,0
20567,5704,13947,0,0,0
20555,5695,13921,0,0,0
20544,5686,13890,0,0,0
20532,5677,13857,0,0,0
20512,5665,13822,0,0,0
20490,5654,13784,0,0,0
20476,5648,13750,0,0,0
20458,5642,13716,0,0,0
20422,5627,13677,0,0,0
20383,5609,13638,0,0,0
20347,5594,13601,0,0,0
20304,5576,13562,0,0,0
20248,5551,13515,0,0,0
20193,5524,13466,0,0,0
20147,5501,13417,0,0,0
20100,5479,13366,0,0,0
20053,5458,13312,0,0,0
20018,5440,13260,0,0,0
19997,5427,13215,0,0,0
19976,5416,13175,0,0,0
19944,5403,13136,0,0,0
19914,5392,13101,0,0,0
19889,5383,13069,0,0,0
19852,5367,13035,0,0,0
19800,5343,12989,0,0,0
19746,5316,12936,0,0,0
19697,5289,12882,0,0,0
19644,5261,12828,0,0,0
19594,5232,12779,0,0,0
19563,5213,12743,0,0,0
19559,5210,12728,0,0,0
19576,5222,12740,0,0,0
19617,5248,12785,0,0,0
19700,5294,12870,0,0,0
19822,5359,12999,0,0,0
19967,5433,13160,0,0,0
20137,5516,13348,0,0,0
20340,5618,13568,0,0,0
20565,5735,13818,0,0,0
20797,5857,14085,0,0,0
21035,5983,14361,0,0,0
21285,6118,14647,0,0,0
21545,6260,14939,0,0,0
21801,6402,15230,0,0,0
22049,6539,15513,0,0,0
22298,6673,15787,0,0,0
22543,6799,16046,0,0,0
22765,6910,16285,0,0,0
22962,7007,16502,0,0,0
23139,7095,16698,0,0,0
23290,7171,16868,0,0,0
23405,7228,17003,0,0,0
23494,7270,17105,0,0,0
23566,7301,17184,0,0,0
23608,7315,17237,0,0,0
23619,7314,17263,0,0,0
23619,7305,17274,0,0,0
23619,7297,17276,0,0,0
23607,7288,17269,0,0,0
23579,7276,17248,0,0,0
23550,7268,17219,0,0,0
23523,7262,17189,0,0,0
23494,7251,17156,0,0,0
23463,7232,17118,0,0,0
23437,7214,17084,0,0,0
23422,7203,17059,0,0,0
23410,7194,17041,0,0,0
23398,7188,17026,0,0,0
23399,7191,17019,0,0,0
23408,7199,17020,0,0,0
23410,7204,17017,0,0,0
23401,7201,17007,0,0,0
23389,7195,16993,0,0,0
23369,7183,16976,0,0,0
23330,7162,16950,0,0,0
23278,7134,16916,0,0,0
23230,7105,16879,0,0,0
23189,7079,16842,0,0,0
23148,7055,16804,0,0,0
23112,7038,16767,0,0,0
23096,7034,16742,0,0,0
23090,7038,16727,0,0,0
23078,7037,16712,0,0,0
23066,7032,16695,0,0,0
23070,7033,16682,0,0,0
23085,7040,16672,0,0,0
23097,7043,16662,0,0,0
23111,7042,16659,0,0,0
23133,7048,16658,0,0,0
23151,7058,16652,0,0,0
23151,7060,16638,0,0,0
23144,7059,16623,0,0,0
23138,7058,16609,0,0,0
23126,7054,16594,0,0,0
23107,7045,16578,0,0,0
23094,7038,16565,0,0,0
23094,7038,16565,0,0,0
23098,7045,16574,0,0,0
23095,7051,16577,0,0,0
23098,7058,16581,0,0,0
23102,7069,16589,0,0,0
23090,7075,16597,0,0,0
23065,7072,16595,0,0,0
23043,7063,16584,0,0,0
23027,7051,16568,0,0,0
23003,7033,16546,0,0,0
22968,7008,16514,0,0,0
22935,6988,16482,0,0,0
22913,6975,16451,0,0,0
22888,6961,16415,0,0,0
22854,6942,16374,0,0,0
22821,6923,16336,0,0,0
22793,6904,16302,0,0,0
22758,6882,16264,0,0,0
22716,6857,16222,0,0,0
22676,6834,16179,0,0,0
22636,6813,16137,0,0,0
22589,6793,16091,0,0,0
22531,6773,16033,0,0,0
22474,6756,15971,0,0,0
22415,6737,15907,0,0,0
22342,6703,15835,0,0,0
22261,6657,15756,0,0,0
22189,6610,15679,0,0,0
22126,6566,15608,0,0,0
22063,6529,15541,0,0,0
22005,6498,15479,0,0,0
21960,6474,15426,0,0,0
21917,6452,15376,0,0,0
21865,6425,15320,0,0,0
21813,6397,15259,0,0,0
21773,6374,15201,0,0,0
21738,6353,15141,0,0,0
21699,6331,15079,0,0,0
21664,6310,15020,0,0,0
21634,6293,14967,0,0,0
21594,6277,14916,0,0,0
21539,6254,14859,0,0,0
21481,6227,14800,0,0,0
21426,6199,14746,0,0,0
21365,6166,14689,0,0,0
21296,6127,14625,0,0,0
21235,6091,14561,0,0,0
21187,6064,14503,0,0,0
21140,6043,14447,0,0,0
21089,6023,14392,0,0,0
21045,6008,14343,0,0,0
21009,5997,14299,0,0,0
20963,5986,14253,0,0,0
20904,5967,14202,0,0,0
20843,5942,14149,0,0,0
20782,5914,14093,0,0,0
20712,5879,14029,0,0,0
20634,5839,13957,0,0,0
20565,5802,13880,0,0,0
20501,5766,13804,0,0,0
20430,5726,13727,0,0,0
20353,5680,13647,0,0,0
20284,5639,13574,0,0,0
20216,5607,13512,0,0,0
20137,5574,13451,0,0,0
20052,5538,13386,0,0,0
19980,5503,13324,0,0,0
19919,5475,13272,0,0,0
19857,5448,13223,0,0,0
19796,5418,13169,0,0,0
19748,5391,13116,0,0,0
19710,5369,13065,0,0,0
19673,5349,13016,0,0,0
19637,5329,12969,0,0,0
19608,5314,12931,0,0,0
19583,5304,12900,0,0,0
19554,5297,12875,0,0,0
19532,5296,12864,0,0,0
19533,5304,12877,0,0,0
19557,5321,12914,0,0,0
19605,5346,12977,0,0,0
19692,5384,13070,0,0,0
19824,5450,13205,0,0,0
19990,5540,13377,0,0,0
20181,5646,13579,0,0,0
20402,5768,13815,0,0,0
20654,5906,14083,0,0,0
20917,6049,14369,0,0,0
21178,6184,14657,0,0,0
21445,6312,14942,0,0,0
21715,6439,15228,0,0,0
21971,6559,15506,0,0,0
22209,6670,15769,0,0,0
22435,6776,16016,0,0,0
22641,6877,16244,0,0,0
22815,6970,16449,0,0,0
22958,7053,16625,0,0,0
23081,7127,16776,0,0,0
23183,7187,16899,0,0,0
23250,7227,16988,0,0,0
23287,7248,17043,0,0,0
23308,7256,17072,0,0,0
23314,7253,17081,0,0,0
23302,7237,17071,0,0,0
23278,7216,17042,0,0,0
23257,7198,17006,0,0,0
23240,7182,16971,0,0,0
23220,7166,16935,0,0,0
23198,7149,16898,0,0,0
23185,7142,16871,0,0,0
23178,7143,16857,0,0,0
23160,7141,16843,0,0,0
23132,7133,16822,0,0,0
23105,7124,16796,0,0,0
23079,7114,16770,0,0,0
23047,7097,16739,0,0,0
23011,7074,16704,0,0,0
22983,7050,16671,0,0,0
22953,7024,16639,0,0,0
22915,6995,16603,0,0,0
22880,6970,16564,0,0,0
22852,6952,16528,0,0,0
22817,6940,16495,0,0,0
22765,6927,16455,0,0,0
22709,6914,16409,0,0,0
22658,6899,16359,0,0,0
22593,6871,16303,0,0,0
22510,6834,16237,0,0,0
22430,6798,16166,0,0,0
22369,6770,16101,0,0,0
22317,6744,16045,0,0,0
22266,6719,15995,0,0,0
22232,6699,15953,0,0,0
22218,6691,15923,0,0,0
22209,6689,15900,0,0,0
22196,6685,15883,0,0,0
22189,6686,15879,0,0,0
22190,6690,15887,0,0,0
22184,6691,15893,0,0,0
22170,6687,15895,0,0,0
22162,6685,15900,0,0,0
22160,6687,15911,0,0,0
22152,6684,15917,0,0,0
22141,6676,15916,0,0,0
22142,6673,15917,0,0,0
22150,6676,15924,0,0,0
22150,6679,15928,0,0,0
22145,6679,15928,0,0,0
22146,6678,15932,0,0,0
22141,6676,15935,0,0,0
22116,6664,15922,0,0,0
22073,6641,15889,0,0,0
22020,6613,15845,0,0,0
21959,6582,15799,0,0,0
21892,6546,15747,0,0,0
21831,6510,15694,0,0,0
21786,6480,15647,0,0,0
21749,6455,15600,0,0,0
21708,6431,15548,0,0,0
21672,6413,15496,0,0,0
21646,6404,15453,0,0,0
21617,6398,15415,0,0,0
21573,6385,15375,0,0,0
21524,6366,15332,0,0,0
21477,6342,15281,0,0,0
21420,6313,15219,0,0,0
21350,6276,15147,0,0,0
21277,6233,15075,0,0,0
21211,6193,15008,0,0,0
21145,6156,14939,0,0,0
21077,6117,14867,0,0,0
21021,6082,14798,0,0,0
20983,6056,14738,0,0,0
20950,6037,14688,0,0,0
20916,6022,14642,0,0,0
20893,6013,14602,0,0,0
20882,6010,14571,0,0,0
20866,6009,14540,0,0,0
20836,5999,14503,0,0,0
20801,5981,14460,0,0,0
20767,5962,14417,0,0,0
20725,5941,14370,0,0,0
20671,5916,14314,0,0,0
20619,5890,14255,0,0,0
20571,5867,14201,0,0,0
20514,5844,14147,0,0,0
20449,5823,14094,0,0,0
20390,5808,14049,0,0,0
20340,5799,14012,0,0,0
20288,5784,13971,0,0,0
20234,5760,13926,0,0,0
20190,5735,13883,0,0,0
20157,5709,13844,0,0,0
20124,5682,13800,0,0,0
20096,5658,13749,0,0,0
20085,5645,13704,0,0,0
20084,5641,13670,0,0,0
20082,5641,13643,0,0,0
20079,5643,13620,0,0,0
20074,5645,13601,0,0,0
20056,5641,13584,0,0,0
20020,5629,13561,0,0,0
19979,5612,13529,0,0,0
19942,5593,13493,0,0,0
19900,5568,13452,0,0,0
19852,5537,13405,0,0,0
19815,5507,13359,0,0,0
19797,5484,13321,0,0,0
19792,5468,13294,0,0,0
19794,5458,13276,0,0,0
19819,5465,13276,0,0,0
19869,5493,13304,0,0,0
19928,5536,13359,0,0,0
19997,5586,13433,0,0,0
20090,5644,13532,0,0,0
20214,5714,13662,0,0,0
20356,5792,13822,0,0,0
20514,5877,14007,0,0,0
20699,5974,14223,0,0,0
20916,6085,14472,0,0,0
21157,6206,14742,0,0,0
21412,6333,15022,0,0,0
21683,6474,15315,0,0,0
21966,6625,15623,0,0,0
22242,6773,15932,0,0,0
22503,6909,16227,0,0,0
22753,7035,16505,0,0,0
22987,7149,16767,0,0,0
23193,7248,17006,0,0,0
23368,7331,17211,0,0,0
23522,7403,17385,0,0,0
23646,7464,17530,0,0,0
23727,7510,17642,0,0,0
23771,7539,17719,0,0,0
23790,7557,17770,0,0,0
23783,7562,17793,0,0,0
23739,7549,17783,0,0,0
23672,7520,17749,0,0,0
23602,7485,17701,0,0,0
23532,7446,17645,0,0,0
23464,7408,17585,0,0,0
23411,7379,17528,0,0,0
23377,7364,17484,0,0,0
23352,7358,17452,0,0,0
23325,7353,17428,0,0,0
23308,7346,17408,0,0,0
23301,7338,17392,0,0,0
23287,7326,17374,0,0,0
23261,7306,17350,0,0,0
23233,7283,17322,0,0,0
23208,7264,17295,0,0,0
23174,7244,17266,0,0,0
23129,7218,17228,0,0,0
23090,7192,17184,0,0,0
23064,7173,17146,0,0,0
23035,7158,17111,0,0,0
23000,7143,17076,0,0,0
22974,7130,17045,0,0,0
