green_channel,red_channel,ir_channel,Anomaly
27914,31393,60692,1
27831,31305,60572,0
27751,31220,60452,0
27681,31147,60339,0
27612,31080,60232,0
27545,31018,60128,0
27489,30970,60033,0
27452,30939,59956,0
27432,30922,59896,0
27427,30918,59854,0
27442,30930,59836,0
27472,30956,59841,0
27511,30987,59859,0
27553,31021,59884,0
27600,31061,59919,0
27652,31109,59964,0
27700,31154,60013,0
27746,31194,60060,0
27797,31235,60106,0
27846,31278,60149,0
27887,31313,60184,0
27923,31338,60209,0
27957,31362,60233,0
27988,31387,60260,0
28013,31407,60280,0
28031,31419,60289,0
28051,31432,60297,0
28070,31443,60304,0
28077,31444,60296,0
28071,31433,60271,0
28064,31423,60240,0
28059,31415,60207,0
28049,31400,60170,0
28033,31383,60129,0
28019,31368,60088,0
28003,31350,60044,0
27980,31321,59990,0
27955,31290,59929,0
27935,31266,59868,0
27915,31242,59805,0
27892,31215,59737,0
27873,31192,59670,0
27859,31176,59612,0
27842,31159,59555,0
27813,31133,59493,0
27777,31101,59428,0
27738,31069,59370,0
27695,31036,59313,0
27648,30996,59251,0
27605,30956,59190,0
27571,30922,59135,0
27535,30887,59075,0
27496,30845,59008,0
27462,30804,58943,0
27433,30770,58884,0
27402,30738,58826,0
27366,30700,58767,0
27328,30661,58707,0
27289,30622,58647,0
27247,30576,58582,0
27200,30524,58513,0
27156,30473,58448,0
27110,30421,58388,0
27054,30363,58328,0
26990,30303,58267,0
26932,30249,58212,0
26876,30201,58162,0
26821,30153,58109,0
26770,30110,58058,0
26730,30077,58018,0
26698,30055,57984,0
26668,30034,57943,0
26642,30014,57897,0
26629,30005,57859,0
26628,30004,57828,0
26626,29999,57798,0
26620,29994,57771,0
26615,29996,57751,0
26609,29994,57730,0
26597,29980,57700,0
26584,29961,57667,0
26573,29945,57638,0
26557,29928,57609,0
26537,29908,57574,0
26524,29892,57539,0
26519,29882,57505,0
26513,29870,57468,0
26499,29850,57424,0
26481,29826,57379,0
26467,29807,57340,0
26454,29789,57306,0
26437,29769,57276,0
26425,29757,57262,0
26425,29761,57273,0
26439,29781,57311,0
26471,29820,57377,0
26531,29888,57484,0
26628,29994,57643,0
26763,30136,57854,0
26934,30312,58118,0
27143,30529,58448,0
27384,30781,58838,0
27642,31047,59257,0
27907,31312,59685,0
28167,31576,60114,0
28409,31826,60523,0
28621,32045,60892,0
28806,32230,61217,0
28971,32394,61508,0
29117,32539,61766,0
29241,32662,61987,0
29347,32762,62173,0
29441,32848,62332,0
29522,32921,62464,0
29582,32974,62562,0
29624,33011,62632,0
29659,33044,62685,0
29684,33070,62720,0
29692,33075,62728,0
29686,33067,62720,0
29677,33059,62709,0
29668,33048,62692,0
29652,33022,62662,0
29631,32986,62621,0
29609,32954,62579,0
29583,32927,62535,0
29550,32898,62482,0
29519,32867,62423,0
29494,32844,62370,0
29469,32823,62322,0
29439,32795,62270,0
29411,32767,62218,0
29391,32747,62173,0
29367,32726,62121,0
29334,32696,62055,0
29299,32662,61986,0
29266,32630,61922,0
29233,32593,61854,0
29199,32546,61778,0
29166,32495,61700,0
29127,32446,61621,0
29082,32397,61537,0
29033,32346,61450,0
28984,32293,61366,0
28934,32240,61285,0
28879,32184,61202,0
28822,32126,61119,0
28772,32078,61050,0
28732,32042,61001,0
28702,32012,60962,0
28683,31989,60931,0
28677,31978,60913,0
28680,31980,60908,0
28682,31986,60907,0
28687,31994,60908,0
28702,32010,60920,0
28721,32029,60938,0
28732,32041,60952,0
28739,32046,60961,0
28745,32051,60972,0
28748,32054,60979,0
28744,32047,60976,0
28738,32036,60965,0
28736,32027,60955,0
28731,32015,60940,0
28717,31992,60912,0
28701,31968,60874,0
28686,31950,60832,0
28668,31933,60784,0
28644,31910,60726,0
28618,31885,60662,0
28591,31862,60602,0
28558,31834,60540,0
28513,31794,60466,0
28462,31748,60385,0
28408,31701,60302,0
28344,31649,60217,0
28270,31585,60124,0
28193,31517,60031,0
28119,31452,59941,0
28049,31385,59848,0
27983,31316,59753,0
27927,31255,59664,0
27882,31204,59583,0
27843,31156,59505,0
27813,31110,59430,0
27798,31080,59368,0
27792,31063,59318,0
27786,31050,59270,0
27780,31041,59227,0
27777,31038,59193,0
27774,31035,59164,0
27762,31024,59128,0
27745,31003,59085,0
27728,30981,59043,0
27708,30960,59002,0
27678,30933,58955,0
27642,30901,58902,0
27609,30872,58854,0
27577,30843,58809,0
27543,30809,58760,0
27518,30778,58713,0
27505,30758,58676,0
27493,30738,58642,0
27476,30716,58605,0
27459,30695,58569,0
27451,30682,58539,0
27445,30669,58509,0
27433,30648,58470,0
27420,30624,58431,0
27410,30605,58401,0
27398,30588,58371,0
27374,30563,58333,0
27343,30531,58292,0
27310,30497,58249,0
27269,30457,58197,0
27216,30408,58132,0
27160,30358,58065,0
27108,30310,58003,0
27058,30260,57941,0
27013,30209,57882,0
26976,30166,57831,0
26944,30135,57787,0
26911,30106,57742,0
26878,30072,57695,0
26851,30039,57648,0
26826,30010,57602,0
26791,29971,57548,0
26747,29921,57488,0
26707,29876,57433,0
26674,29844,57392,0
26649,29820,57368,0
26641,29815,57373,0
26664,29839,57422,0
26719,29893,57522,0
26803,29979,57667,0
26918,30103,57863,0
27066,30269,58122,0
27238,30469,58441,0
27430,30689,58802,0
27642,30925,59198,0
27871,31176,59619,0
28106,31431,60043,0
28332,31669,60445,0
28546,31888,60817,0
28750,32088,61155,0
28935,32262,61454,0
29095,32409,61711,0
29230,32535,61931,0
29342,32640,62116,0
29426,32719,62261,0
29480,32772,62362,0
29513,32804,62430,0
29529,32822,62475,0
29531,32823,62498,0
29522,32808,62502,0
29511,32792,62498,0
29505,32784,62492,0
29497,32775,62478,0
29488,32759,62451,0
29484,32742,62420,0
29479,32727,62391,0
29468,32708,62355,0
29449,32682,62311,0
29428,32654,62264,0
29406,32630,62221,0
29377,32603,62170,0
29343,32571,62111,0
29313,32541,62053,0
29286,32518,61999,0
29258,32494,61939,0
29230,32468,61873,0
29205,32438,61805,0
29177,32403,61732,0
29141,32354,61649,0
29096,32296,61557,0
29041,32236,61459,0
28970,32170,61354,0
28883,32093,61239,0
28788,32008,61115,0
28698,31923,60993,0
28609,31841,60876,0
28523,31761,60760,0
28449,31688,60652,0
28395,31633,60565,0
28353,31593,60497,0
28316,31561,60440,0
28288,31537,60395,0
28270,31522,60369,0
28254,31511,60355,0
28236,31495,60343,0
28222,31480,60335,0
28218,31476,60335,0
28219,31472,60338,0
28219,31465,60337,0
28222,31463,60337,0
28229,31468,60346,0
28231,31471,60352,0
28228,31469,60351,0
28230,31470,60350,0
28241,31481,60352,0
28251,31494,60346,0
28253,31495,60325,0
28252,31488,60299,0
28250,31480,60274,0
28239,31466,60247,0
28219,31442,60210,0
28202,31419,60170,0
28190,31403,60128,0
28175,31385,60078,0
28153,31360,60019,0
28126,31332,59956,0
28092,31301,59888,0
28047,31258,59813,0
27994,31204,59733,0
27940,31148,59649,0
27882,31090,59563,0
27819,31029,59472,0
27754,30966,59376,0
27691,30906,59284,0
27629,30846,59194,0
27565,30784,59102,0
27505,30722,59008,0
27453,30665,58923,0
27403,30611,58846,0
27350,30554,58769,0
27298,30497,58691,0
27255,30449,58619,0
27213,30407,58551,0
27162,30360,58480,0
27110,30310,58412,0
27066,30266,58349,0
27025,30225,58287,0
26985,30185,58221,0
26949,30149,58156,0
26914,30121,58097,0
26878,30093,58040,0
26842,30062,57982,0
26811,30033,57932,0
26782,30006,57894,0
26746,29972,57856,0
26704,29927,57810,0
26665,29880,57760,0
