green_channel,red_channel,ir_channel
56482,53238,29060
56485,53241,29054
56487,53241,29045
56483,53236,29029
56473,53228,29006
56463,53222,28986
56451,53216,28974
56437,53208,28967
56422,53198,28960
56410,53190,28959
56402,53183,28961
56394,53176,28959
56385,53166,28952
56378,53156,28940
56370,53145,28923
56358,53131,28901
56344,53115,28879
56327,53102,28855
56311,53092,28828
56292,53080,28795
56264,53063,28756
56231,53038,28714
56198,53013,28671
56169,52994,28631
56144,52976,28597
56123,52959,28572
56106,52945,28551
56091,52930,28529
56081,52917,28513
56077,52909,28501
56073,52899,28484
56063,52888,28462
56049,52881,28440
56033,52877,28422
56014,52869,28402
55995,52859,28380
55979,52852,28359
55966,52847,28340
55954,52837,28319
55948,52824,28296
55946,52812,28274
55940,52798,28250
55930,52780,28220
55921,52759,28187
55912,52740,28163
55903,52722,28146
55893,52708,28124
55879,52698,28101
55865,52695,28081
55855,52696,28062
55846,52694,28040
55837,52689,28017
55831,52684,27997
55825,52678,27980
55813,52665,27963
55795,52647,27945
55775,52630,27927
55753,52612,27909
55728,52591,27886
55702,52568,27859
55670,52545,27831
55635,52524,27799
55602,52505,27766
55574,52487,27737
55550,52469,27715
55533,52454,27701
55524,52443,27696
55524,52439,27704
55536,52442,27725
55560,52458,27758
55596,52487,27805
55642,52526,27868
55703,52576,27948
55774,52636,28044
55852,52706,28151
55934,52779,28269
56014,52850,28390
56089,52916,28511
56160,52980,28631
56227,53047,28752
56292,53113,28873
56356,53176,28986
56413,53233,29091
56463,53284,29186
56506,53331,29269
56545,53372,29341
56582,53405,29407
56615,53432,29466
56645,53459,29518
56673,53487,29561
56694,53510,29596
56708,53528,29624
56722,53545,29649
56735,53557,29672
56747,53565,29693
56759,53572,29713
56769,53580,29733
56776,53585,29752
56783,53590,29772
56789,53596,29794
56795,53603,29816
56798,53611,29837
56798,53618,29859
56799,53625,29887
56803,53634,29919
56812,53646,29956
56826,53662,29998
56843,53680,30039
56868,53703,30080
56900,53729,30122
56932,53754,30168
56964,53780,30216
56998,53807,30262
57035,53838,30309
57075,53870,30358
57113,53898,30399
57145,53920,30430
57170,53936,30457
57189,53949,30484
57210,53963,30513
57228,53977,30538
57236,53986,30555
57236,53990,30565
57231,53994,30573
57226,54001,30582
57221,54010,30591
57211,54012,30594
57198,54007,30589
57187,54001,30584
57178,53996,30582
57171,53995,30582
57167,53998,30586
57166,54003,30594
57169,54005,30607
57177,54007,30623
57189,54011,30639
57201,54018,30648
57215,54026,30655
57226,54034,30663
57228,54036,30667
57228,54035,30665
57227,54034,30665
57225,54033,30671
57228,54035,30679
57236,54041,30685
57243,54047,30689
57248,54050,30694
57254,54050,30700
57260,54047,30705
57264,54046,30709
57267,54047,30716
57270,54049,30722
57269,54047,30722
57263,54041,30717
57255,54037,30711
57248,54038,30709
57239,54041,30706
57227,54040,30703
57208,54034,30696
57190,54025,30685
57179,54020,30674
57171,54018,30665
57165,54012,30658
57161,54000,30648
57159,53986,30633
57160,53975,30620
57161,53966,30608
57161,53955,30593
57152,53942,30574
57139,53929,30551
57121,53914,30525
57101,53900,30498
57082,53889,30475
57069,53880,30457
57057,53870,30440
57044,53859,30425
57031,53849,30411
57021,53841,30401
57012,53835,30389
57005,53829,30375
56997,53823,30360
56988,53816,30344
56974,53810,30324
56954,53800,30301
56932,53787,30279
56909,53772,30260
56888,53757,30240
56871,53745,30221
56859,53739,30210
56852,53736,30205
56845,53732,30198
56837,53727,30185
56828,53723,30172
56817,53720,30162
56803,53717,30152
56790,53712,30141
56776,53702,30131
56760,53690,30123
56743,53675,30111
56729,53656,30091
56718,53639,30069
56712,53628,30050
56710,53621,30033
56711,53615,30017
56709,53610,30001
56704,53601,29985
56694,53587,29967
56681,53574,29947
56669,53567,29930
56659,53560,29915
56648,53552,29898
56637,53547,29881
56627,53551,29867
56614,53553,29851
56599,53550,29830
56587,53545,29805
56580,53540,29781
56577,53536,29757
56571,53529,29730
56559,53516,29700
56541,53498,29667
56520,53479,29629
56499,53460,29592
56478,53443,29560
56457,53428,29532
56433,53413,29502
56409,53395,29469
56386,53374,29439
56368,53356,29415
56354,53344,29393
56340,53335,29374
56322,53325,29355
56303,53311,29337
56287,53300,29320
56273,53291,29301
56258,53284,29283
56244,53276,29263
56227,53263,29237
56203,53244,29205
56174,53223,29172
56143,53201,29142
56115,53182,29114
56091,53165,29085
56068,53148,29058
56045,53128,29030
56024,53106,29003
56010,53089,28979
55998,53079,28960
55987,53074,28940
55980,53072,28920
55976,53069,28902
55971,53063,28882
55963,53057,28862
55959,53051,28842
55953,53041,28820
55939,53021,28794
55916,52992,28756
55889,52962,28707
55857,52934,28658
55830,52915,28619
55813,52902,28590
55800,52889,28563
55787,52876,28539
55771,52862,28519
55755,52850,28498
55741,52842,28476
55726,52831,28453
55705,52818,28434
55680,52802,28412
55656,52785,28387
55635,52772,28362
55614,52758,28340
55594,52742,28319
55577,52722,28295
55563,52699,28267
55545,52673,28237
55523,52647,28203
55500,52624,28165
55474,52602,28130
55450,52583,28101
55435,52570,28079
55425,52557,28058
55417,52547,28036
55411,52539,28016
55404,52533,27995
55395,52525,27974
55383,52517,27956
55372,52512,27941
55361,52507,27923
55348,52498,27898
55332,52485,27871
55312,52467,27843
55289,52447,27816
55266,52426,27788
55241,52407,27760
55218,52392,27733
55197,52379,27708
55178,52367,27684
55162,52360,27663
55150,52357,27649
55143,52355,27643
55143,52361,27648
55159,52378,27673
55193,52408,27716
55242,52453,27775
55301,52510,27853
55372,52580,27953
55453,52658,28071
55536,52735,28199
55617,52808,28331
55696,52879,28467
55776,52950,28605
55852,53017,28741
55926,53080,28873
56001,53143,29004
56071,53202,29129
56133,53256,29245
56188,53307,29351
56239,53355,29447
56289,53399,29531
56332,53437,29602
56364,53467,29661
56387,53488,29706
56400,53503,29741
56409,53515,29772
56419,53528,29801
56427,53541,29828
56435,53552,29847
56443,53562,29861
56450,53569,29880
56459,53577,29908
56471,53586,29939
56482,53597,29972
56494,53611,30008
56508,53622,30039
56524,53631,30061
56542,53638,30078
56562,53648,30100
56586,53667,30130
56610,53692,30167
56635,53715,30209
56663,53737,30256
56695,53762,30310
56729,53791,30368
56762,53819,30426
56792,53847,30478
56820,53873,30523
56847,53899,30565
56875,53927,30616
56903,53955,30672
56928,53982,30723
56949,54010,30768
56968,54037,30809
56989,54061,30845
57011,54081,30877
57030,54098,30906
57050,54114,30929
57069,54131,30945
57086,54144,30956
57100,54152,30962
57112,54158,30970
57121,54160,30980
57124,54157,30986
57118,54148,30983
57109,54137,30976
57097,54127,30967
57086,54118,30958
57080,54113,30955
57080,54109,30959
57083,54108,30965
57091,54109,30972
57099,54109,30979
57104,54112,30991
57110,54123,31012
57119,54139,31034
57125,54156,31055
57132,54171,31077
57140,54184,31101
57147,54192,31119
57152,54197,31132
57157,54202,31145
57162,54208,31155
57166,54215,31163
57167,54224,31171
57162,54231,31178
57154,54234,31181
57148,54236,31177
57139,54234,31168
57128,54228,31158
57119,54221,31150
57114,54214,31147
57111,54209,31147
57111,54205,31147
57113,54201,31146
57111,54197,31141
57105,54193,31134
57098,54188,31126
57096,54184,31118
57094,54180,31109
57091,54174,31102
57089,54168,31096
57086,54163,31087
57082,54157,31074
57075,54150,31058
57067,54143,31037
57058,54136,31010
57048,54129,30983
57039,54123,30961
57031,54116,30940
57021,54105,30919
57015,54097,30898
57009,54090,30881
57001,54082,30867
56992,54074,30855
56983,54064,30842
56972,54053,30827
56959,54042,30812
56942,54027,30793
56923,54006,30771
56909,53987,30755
56901,53976,30746
56891,53970,30737
56878,53963,30727
56865,53956,30717
56851,53947,30703
56835,53933,30687
56823,53923,30671
56814,53917,30657
56806,53915,30646
56797,53914,30635
56784,53911,30621
56766,53903,30603
56750,53890,30580
56739,53875,30558
56734,53863,30540
56729,53853,30524
56728,53845,30504
56730,53840,30478
56732,53835,30451
56727,53828,30423
56717,53819,30400
56703,53808,30381
56689,53797,30362
56675,53790,30346
56667,53788,30335
56662,53786,30329
56653,53778,30322
56637,53761,30309
56621,53740,30291
56607,53723,30270
56592,53709,30247
56577,53695,30222
56562,53682,30195
56547,53673,30169
56533,53666,30144
56519,53657,30118
56510,53646,30088
56505,53634,30058
56498,53623,30030
56489,53611,29999
56480,53602,29968
56469,53596,29945
56459,53594,29931
56449,53595,29925
56437,53595,29918
56421,53591,29910
56403,53582,29897
56386,53572,29879
56373,53561,29857
56362,53549,29832
56354,53537,29807
56349,53529,29785
56338,53523,29764
56328,53516,29742
56323,53508,29720
56323,53499,29695
56319,53485,29668
56310,53467,29640
56297,53449,29615
56283,53435,29596
56269,53427,29581
56257,53422,29568
56249,53418,29557
56245,53413,29547
56237,53405,29537
56224,53394,29529
56209,53383,29520
56193,53374,29504
56180,53364,29483
56166,53350,29463
56148,53335,29442
56130,53318,29417
56112,53300,29391
56091,53280,29366
56072,53261,29343
56055,53248,29317
56035,53231,29284
56012,53213,29247
55989,53197,29208
55967,53179,29166
55944,53156,29123
55920,53134,29086
55893,53113,29052
55866,53089,29016
55843,53067,28985
55825,53053,28964
55810,53047,28949
55800,53042,28932
55788,53035,28912
55770,53022,28891
55751,53006,28870
55733,52988,28847
55717,52970,28821
55703,52954,28793
55691,52939,28765
55679,52926,28736
55664,52911,28708
55642,52891,28679
55616,52865,28644
55590,52835,28600
55568,52805,28556
55546,52777,28516
55523,52753,28477
55503,52735,28446
55491,52726,28433
55491,52727,28438
55504,52739,28460
55525,52762,28498
55556,52797,28558
55597,52844,28639
55651,52898,28735
55725,52964,28845
55816,53045,28973
55915,53133,29113
56012,53219,29257
56107,53302,29401
56199,53382,29546
56285,53454,29687
56364,53521,29819
56437,53584,29945
56501,53640,30064
56557,53688,30168
56611,53732,30261
56664,53777,30347
56712,53820,30426
56751,53857,30497
56784,53887,30559
56813,53911,30610
56831,53927,30653
56843,53939,30689
56850,53948,30715
56854,53954,30733
56859,53963,30750
56868,53973,30767
56880,53983,30782
56892,53993,30792
56900,54001,30804
56903,54007,30819
56904,54014,30835
56912,54024,30853
56926,54038,30877
56943,54053,30906
56961,54068,30936
56985,54088,30973
57014,54115,31020
57046,54147,31071
57078,54182,31125
57109,54215,31183
57136,54245,31239
57159,54274,31290
57186,54306,31342
57219,54341,31396
57255,54377,31450
57290,54411,31500
57324,54444,31544
57356,54474,31586
57384,54502,31626
57403,54521,31660
57414,54531,31685
57423,54538,31703
57428,54545,31716
57431,54550,31725
57430,54549,31730
57427,54546,31734
57427,54545,31742
57429,54544,31750
57430,54544,31758
57430,54546,31769
57427,54547,31780
57422,54546,31785
57416,54542,31787
57410,54535,31789
57406,54529,31793
57403,54526,31797
57403,54526,31800
57408,54529,31805
57416,54535,31814
57421,54542,31824
57422,54548,31833
57424,54556,31843
57430,54567,31856
57438,54578,31870
57444,54585,31883
57446,54587,31895
57449,54588,31904
57454,54585,31903
57461,54585,31897
57470,54587,31894
57474,54590,31892
57472,54593,31893
57465,54597,31896
57453,54597,31898
57440,54589,31898
57432,54582,31897
57428,54580,31896
57421,54577,31890
57407,54569,31878
57387,54558,31862
57368,54546,31843
57356,54537,31822
57346,54530,31799
57332,54520,31776
57313,54507,31755
57293,54489,31733
57274,54470,31706
57262,54453,31677
57257,54441,31656
57250,54426,31643
57240,54408,31630
57231,54390,31616
57223,54377,31604
57219,54372,31593
57215,54372,31582
57205,54370,31574
57194,54372,31573
57187,54374,31572
57181,54372,31566
57173,54366,31555
57161,54360,31544
57152,54355,31534
57149,54353,31524
57145,54348,31510
57136,54337,31491
57125,54324,31467
57113,54310,31438
57108,54300,31413
57108,54289,31391
57108,54275,31370
57103,54259,31349
57091,54243,31328
57076,54230,31311
57063,54221,31296
57053,54216,31283
57043,54211,31271
57028,54204,31259
57008,54192,31242
56989,54177,31219
56978,54168,31197
56969,54163,31179
56956,54154,31158
56943,54140,31134
56927,54122,31114
56907,54103,31095
56889,54087,31073
56873,54074,31051
56859,54062,31031
56846,54051,31011
56834,54042,30992
56823,54034,30974
56811,54025,30956
56799,54013,30934
56786,54000,30908
56770,53985,30880
56750,53968,30852
56729,53950,30826
56709,53931,30800
56689,53912,30772
56668,53895,30740
56644,53876,30701
56619,53853,30656
56591,53831,30614
56560,53809,30577
56525,53784,30539
56491,53757,30501
56460,53729,30467
56435,53705,30436
56412,53684,30406
56386,53667,30378
56361,53651,30351
56340,53636,30325
56323,53621,30299
56309,53606,30274
56299,53593,30249
56289,53578,30226
56282,53560,30199
56277,53548,30173
56271,53541,30152
56260,53535,30132
56241,53524,30109
56221,53510,30083
56204,53497,30056
56184,53483,30030
56159,53468,30001
56133,53454,29970
