green_channel,red_channel,ir_channel
60789,32766,41377
60740,32721,41295
60679,32666,41195
60601,32597,41071
60510,32517,40926
60412,32429,40769
60311,32337,40599
60206,32241,40419
60104,32149,40244
60006,32065,40078
59909,31985,39921
59811,31906,39773
59719,31833,39639
59639,31772,39519
59567,31719,39412
59502,31669,39315
59451,31629,39237
59411,31598,39175
59376,31568,39119
59346,31540,39070
59323,31519,39031
59305,31501,38998
59290,31484,38963
59276,31467,38926
59261,31454,38893
59242,31441,38862
59217,31420,38822
59187,31392,38777
59156,31364,38729
59118,31334,38671
59071,31299,38599
59018,31256,38516
58963,31210,38426
58906,31161,38325
58840,31105,38208
58766,31042,38078
58684,30975,37937
58590,30900,37783
58485,30813,37612
58372,30717,37427
58256,30617,37235
58133,30510,37034
58002,30396,36821
57865,30278,36598
57727,30162,36373
57589,30045,36144
57445,29926,35909
57298,29807,35673
57153,29692,35443
57010,29581,35217
56867,29472,34993
56726,29368,34774
56590,29269,34562
56457,29170,34354
56327,29069,34145
56200,28969,33941
56078,28872,33747
55958,28777,33556
55842,28685,33366
55728,28598,33182
55617,28514,33007
55507,28428,32833
55398,28341,32657
55294,28260,32484
55197,28184,32321
55101,28104,32162
55006,28019,32004
54914,27937,31853
54828,27861,31709
54744,27788,31567
54663,27718,31429
54588,27657,31300
54515,27600,31178
54441,27540,31054
54366,27478,30930
54292,27417,30814
54216,27357,30702
54136,27294,30591
54057,27233,30484
53986,27180,30384
53920,27130,30285
53853,27075,30179
53782,27018,30069
53710,26961,29959
53635,26903,29849
53557,26841,29733
53479,26779,29613
53404,26723,29497
53333,26670,29383
53263,26615,29268
53193,26561,29154
53125,26510,29043
53055,26459,28932
52982,26402,28818
52910,26342,28703
52840,26285,28593
52770,26229,28482
52697,26172,28369
52626,26118,28259
52556,26065,28154
52482,26011,28051
52406,25955,27948
52335,25902,27848
52264,25849,27748
52189,25792,27640
52112,25732,27528
52038,25671,27420
51965,25613,27315
51891,25556,27210
51818,25503,27105
51749,25456,27006
51683,25412,26910
51618,25368,26811
51551,25323,26710
51484,25277,26611
51414,25230,26511
51341,25180,26405
51266,25127,26294
51193,25077,26184
51119,25030,26077
51042,24979,25971
50967,24926,25867
50899,24874,25770
50833,24824,25679
50774,24779,25599
50729,24746,25543
50708,24732,25526
50717,24745,25560
50763,24790,25658
