green_channel,red_channel,ir_channel
31261,55342,12619
31550,55693,8400
31840,56048,5445
32130,56402,3586
32421,56753,2625
32707,57094,2362
32987,57424,2607
33256,57737,3194
33511,58033,3981
33746,58305,4860
33957,58549,5745
34142,58763,6579
34298,58944,7322
34427,59097,7959
34538,59227,8485
34635,59334,8899
34711,59412,9207
34765,59464,9415
34794,59492,9535
34795,59494,9580
34769,59468,9562
34725,59419,9490
34670,59353,9374
34612,59282,9227
34547,59206,9061
34473,59122,8878
34394,59028,8678
34307,58921,8466
34214,58806,8249
34116,58684,8028
34017,58560,7807
33924,58441,7593
33833,58327,7383
33747,58219,7173
33658,58109,6962
33566,57995,6742
33478,57882,6522
33397,57774,6311
33319,57669,6110
33244,57569,5916
33171,57473,5724
33089,57375,5531
33001,57272,5336
32913,57168,5147
32831,57069,4968
32752,56975,4797
32678,56891,4635
32618,56821,4490
32576,56766,4366
32545,56724,4265
32517,56690,4181
32491,56663,4115
32471,56646,4067
32456,56635,4036
32448,56634,4024
32451,56642,4029
32462,56653,4044
32481,56669,4072
32509,56694,4117
32539,56727,4173
32567,56763,4236
32596,56802,4310
32629,56845,4397
32670,56892,4493
32716,56940,4591
32763,56988,4689
32812,57036,4783
32860,57083,4872
32902,57130,4960
32946,57182,5049
32992,57235,5132
33036,57282,5203
33073,57320,5260
33098,57346,5299
33107,57355,5316
33101,57350,5315
33086,57341,5300
33072,57332,5274
33058,57319,5238
33040,57295,5189
33017,57265,5129
32981,57225,5060
32932,57175,4981
32881,57120,4893
32838,57064,4799
32798,57008,4698
32756,56951,4593
32713,56894,4483
32667,56833,4371
32622,56772,4262
32581,56718,4162
32540,56669,4063
32498,56619,3956
32448,56560,3835
32389,56489,3704
32325,56412,3573
32261,56336,3446
32200,56262,3324
32141,56189,3206
32080,56114,3088
32020,56039,2976
31963,55968,2871
31914,55902,2771
31872,55844,2672
31831,55790,2572
31792,55737,2469
31752,55684,2365
31713,55632,2265
31678,55585,2171
31639,55535,2080
31594,55485,1994
31550,55440,1911
31512,55397,1830
31477,55353,1751
31436,55306,1670
31395,55260,1590
31360,55220,1516
31332,55186,1448
31311,55160,1389
31296,55138,1338
31285,55118,1292
31275,55098,1248
31265,55079,1204
31250,55057,1155
31229,55031,1101
31206,55000,1043
31181,54964,982
31155,54931,924
31129,54901,874
31094,54869,826
31057,54835,773
31024,54801,718
30992,54764,658
30958,54728,595
30929,54702,550
30916,54697,544
30928,54720,579
30969,54777,660
31035,54860,788
31122,54969,974
31237,55109,1225
31382,55284,1538
31558,55495,1908
31763,55738,2336
31995,56011,2823
32253,56315,3366
32524,56641,3949
32800,56978,4561
33079,57323,5194
33361,57672,5835
33642,58019,6471
33915,58353,7090
34181,58672,7688
34443,58979,8261
34691,59267,8796
34913,59527,9282
35107,59757,9714
35274,59956,10090
35419,60121,10409
35543,60260,10674
35646,60372,10882
35723,60450,11029
35772,60497,11117
35796,60520,11158
35798,60523,11158
35779,60506,11120
35746,60469,11045
35695,60409,10932
35626,60329,10790
35552,60240,10630
35478,60149,10458
35405,60057,10278
35325,59960,10087
35234,59850,9883
35136,59733,9668
35027,59608,9442
34909,59478,9210
34796,59346,8979
34687,59215,8747
34580,59083,8513
34470,58950,8276
34356,58818,8036
34242,58684,7798
34121,58545,7553
33989,58398,7302
33851,58246,7049
33717,58098,6800
33601,57963,6566
33502,57841,6347
33413,57731,6142
33330,57630,5952
33248,57534,5773
33167,57441,5606
33090,57354,5454
33020,57277,5320
32966,57215,5207
32928,57169,5120
32899,57137,5059
32877,57115,5020
32868,57107,4999
32870,57111,4993
32876,57120,5002
32882,57135,5027
32896,57159,5068
32922,57190,5122
32957,57229,5186
32999,57277,5263
33046,57332,5352
33095,57389,5447
33138,57440,5540
33174,57485,5625
33210,57529,5702
33250,57575,5775
33286,57613,5843
33315,57641,5902
33340,57664,5954
33361,57683,5997
33375,57698,6029
33381,57706,6043
33382,57706,6040
33384,57704,6027
33386,57702,6011
33384,57697,5989
33373,57685,5959
33355,57667,5920
33332,57644,5873
33304,57616,5816
33268,57578,5746
33227,57530,5665
33184,57478,5574
33138,57423,5475
33086,57366,5367
33033,57307,5254
32981,57245,5136
32932,57183,5019
32882,57120,4903
32829,57052,4787
32773,56981,4669
32717,56911,4552
32658,56841,4435
32597,56768,4317
32539,56698,4202
32489,56634,4088
32444,56572,3972
32399,56509,3855
32347,56442,3733
32291,56373,3610
32236,56308,3496
32183,56247,3386
32126,56183,3274
32070,56122,3159
32022,56071,3049
31977,56023,2944
31930,55972,2840
31886,55921,2738
31847,55873,2642
31808,55826,2552
31767,55780,2464
31727,55733,2380
31685,55683,2298
31638,55632,2216
31595,55588,2140
31560,55551,2073
31530,55523,2015
31502,55499,1960
31469,55471,1904
31435,55441,1847
31408,55413,1795
31383,55386,1743
31360,55359,1691
31342,55336,1643
31328,55318,1599
31317,55300,1554
31304,55280,1505
31284,55249,1444
31254,55208,1376
31216,55160,1306
31176,55112,1237
31142,55073,1174
31117,55045,1124
31094,55022,1081
31067,54998,1037
31042,54972,990
31023,54947,941
31007,54919,887
30991,54890,831
30978,54865,784
30969,54849,759
30965,54848,760
30972,54868,793
30998,54913,874
31058,54994,1017
31155,55115,1227
31285,55273,1506
31446,55471,1860
31637,55707,2281
31854,55973,2758
32100,56266,3286
32371,56583,3858
32655,56917,4460
32949,57266,5084
33248,57622,5712
33540,57969,6330
33817,58302,6932
34086,58622,7519
34347,58923,8084
34588,59200,8609
34800,59450,9084
34985,59668,9507
35144,59855,9874
35271,60010,10176
35370,60133,10420
35452,60231,10616
35518,60302,10762
35563,60344,10855
35586,60361,10899
35589,60356,10899
35579,60331,10860
35560,60292,10792
35533,60243,10700
35494,60183,10585
35441,60112,10441
35373,60031,10274
35298,59945,10095
35224,59859,9911
35152,59774,9720
35073,59680,9520
34989,59576,9312
34900,59464,9096
34804,59343,8872
34700,59209,8640
34590,59067,8403
34482,58929,8168
34389,58806,7941
34306,58696,7722
34221,58584,7503
34128,58464,7280
34028,58340,7052
33931,58218,6827
33834,58101,6608
33731,57985,6395
33627,57869,6195
33531,57759,6004
33450,57663,5828
33384,57581,5669
33326,57507,5526
33276,57444,5403
33232,57391,5302
33194,57350,5224
33166,57324,5173
33151,57313,5145
33144,57311,5138
33142,57315,5147
33150,57328,5172
33170,57351,5211
33197,57386,5267
33231,57432,5342
33278,57492,5437
33334,57564,5550
33391,57637,5668
33446,57708,5788
33505,57781,5913
33563,57851,6034
33616,57912,6142
33666,57968,6240
33719,58021,6333
33776,58078,6422
33833,58133,6502
33886,58180,6571
33928,58214,6626
33955,58234,6663
33967,58241,6683
33965,58236,6683
33947,58216,6657
33916,58182,6610
33879,58139,6550
33833,58086,6477
33780,58027,6389
33726,57965,6289
33669,57898,6181
33605,57827,6069
33542,57758,5954
33480,57690,5835
33419,57620,5712
33359,57551,5585
33301,57483,5456
33247,57419,5331
33194,57354,5206
33145,57286,5080
33098,57215,4952
33049,57142,4823
33004,57069,4695
32957,56999,4572
32903,56929,4450
32840,56860,4325
32767,56786,4196
32691,56711,4065
32610,56634,3930
32529,56558,3795
32457,56485,3669
32396,56418,3550
32340,56354,3439
32286,56292,3332
32234,56235,3231
32188,56183,3136
32148,56138,3045
32114,56097,2955
32081,56057,2868
32044,56017,2782
32011,55977,2698
31986,55942,2619
31964,55907,2546
31939,55867,2475
31899,55818,2401
31851,55764,2327
31804,55714,2259
31766,55674,2198
31735,55639,2139
31703,55603,2078
31672,55564,2018
31649,55529,1958
31632,55497,1896
31615,55468,1833
31589,55435,1769
31552,55396,1702
31508,55353,1631
31461,55306,1558
31414,55260,1485
31374,55220,1419
31345,55190,1361
31329,55169,1312
31320,55154,1272
31311,55140,1237
31302,55127,1211
31302,55126,1204
31315,55140,1225
31346,55177,1284
31401,55243,1390
31484,55341,1551
31598,55478,1776
31741,55656,2067
31916,55871,2424
32119,56116,2843
32341,56384,3314
32575,56670,3829
32826,56974,4384
33092,57293,4968
33365,57619,5566
33637,57946,6168
33902,58266,6763
34157,58573,7336
34398,58860,7874
34624,59124,8374
34829,59363,8830
35012,59576,9238
35167,59756,9589
35289,59896,9879
35377,60001,10110
35436,60079,10287
35477,60134,10411
35504,60167,10489
35522,60183,10525
35533,60186,10529
35532,60177,10507
35518,60151,10458
35487,60107,10378
35439,60046,10262
35376,59970,10111
35297,59877,9933
35201,59769,9734
35096,59647,9518
34988,59518,9292
34880,59389,9063
34770,59258,8831
34652,59125,8590
34531,58990,8344
34409,58851,8095
34283,58705,7842
34152,58557,7583
34021,58410,7322
33891,58266,7061
33758,58121,6800
33628,57976,6543
33506,57836,6291
33394,57698,6044
33297,57569,5804
33209,57449,5577
33120,57333,5362
33037,57225,5160
32965,57132,4978
32901,57052,4820
32846,56985,4685
32802,56930,4573
32767,56890,4486
32741,56864,4425
32722,56844,4384
32711,56833,4364
32713,56841,4367
32728,56865,4393
32750,56897,4439
32775,56937,4505
32812,56988,4591
32860,57047,4691
32909,57106,4798
32960,57168,4913
33016,57237,5035
33069,57306,5158
33113,57367,5272
33151,57421,5376
33185,57469,5470
33212,57509,5554
33231,57541,5628
33252,57570,5695
33277,57598,5759
33303,57621,5813
33329,57640,5854
33356,57655,5882
33379,57668,5898
33400,57686,5905
33420,57703,5904
33434,57712,5895
33435,57709,5877
33420,57688,5841
33388,57651,5788
33343,57602,5719
33294,57549,5637
33249,57496,5550
33208,57443,5457
33165,57384,5355
33114,57314,5242
33055,57238,5125
32992,57162,5006
32929,57090,4885
32868,57022,4767
32807,56955,4651
