green_channel,red_channel,ir_channel
40782,16384,19789
40740,16363,19724
40700,16342,19658
40660,16320,19589
40618,16297,19517
40575,16272,19443
40530,16242,19367
40486,16211,19294
40443,16182,19224
40398,16151,19154
40348,16118,19080
40292,16082,19003
40234,16045,18927
40171,16006,18853
40108,15968,18783
40052,15936,18723
40010,15913,18677
39988,15903,18650
39989,15908,18644
40015,15930,18665
40068,15968,18715
40149,16019,18797
40254,16084,18914
40383,16162,19065
40532,16250,19248
40699,16349,19455
40880,16455,19683
41070,16567,19927
41266,16681,20180
41461,16796,20436
41648,16910,20686
41828,17021,20930
41999,17126,21160
42157,17222,21375
42301,17308,21574
42433,17385,21755
42552,17452,21918
42655,17508,22060
42745,17552,22181
42819,17587,22283
42878,17613,22369
42923,17632,22439
42956,17646,22497
42982,17660,22546
43006,17672,22589
43028,17683,22625
43049,17694,22658
43069,17705,22689
43089,17717,22721
43107,17731,22754
43127,17745,22787
43149,17759,22820
43172,17774,22854
43195,17789,22888
43220,17802,22921
43245,17814,22955
43270,17829,22985
43293,17844,23013
43314,17858,23041
43334,17872,23072
43354,17889,23103
43371,17905,23129
43384,17916,23150
43391,17922,23164
43391,17920,23169
43380,17912,23162
43359,17899,23145
43330,17881,23119
43294,17860,23084
43256,17838,23040
43217,17815,22994
43175,17790,22947
43129,17760,22896
43082,17729,22841
43035,17695,22781
42985,17660,22715
42932,17625,22644
42879,17592,22573
42829,17562,22506
42783,17535,22446
42739,17509,22393
42699,17485,22343
42665,17465,22298
42635,17448,22257
42608,17432,22220
42585,17419,22189
42565,17407,22162
42548,17394,22135
42530,17380,22107
42511,17365,22081
42490,17350,22058
42466,17335,22036
42443,17322,22013
42421,17309,21987
42399,17295,21957
42375,17281,21926
42349,17264,21893
42324,17246,21856
42297,17225,21815
42267,17203,21768
42231,17178,21716
42188,17149,21661
42143,17118,21602
42094,17089,21541
42042,17060,21477
41987,17031,21409
41930,16999,21337
41874,16965,21262
41817,16930,21185
41760,16893,21107
41703,16853,21031
41642,16811,20953
41575,16769,20872
41502,16728,20789
41429,16688,20703
41358,16647,20616
41291,16605,20530
41224,16563,20445
41155,16523,20360
41087,16482,20278
41021,16444,20198
40958,16408,20122
40898,16375,20048
40842,16345,19974
40790,16315,19902
40740,16284,19831
40689,16253,19759
40633,16219,19682
40575,16183,19599
40515,16145,19512
40453,16104,19424
40388,16064,19338
40323,16025,19253
40261,15988,19171
40202,15951,19090
40146,15915,19008
40092,15881,18927
40038,15847,18850
39983,15813,18773
39925,15779,18696
39869,15746,18622
39815,15716,18552
39763,15687,18484
39713,15661,18420
39665,15636,18355
39619,15612,18287
39572,15590,18215
39522,15566,18140
39467,15538,18062
39408,15507,17985
39348,15474,17908
39287,15438,17831
39226,15400,17754
39164,15361,17675
39103,15322,17594
39043,15285,17517
38984,15251,17441
38926,15219,17366
38869,15184,17291
38814,15151,17217
38762,15120,17146
38713,15094,17076
38668,15068,17004
38626,15040,16929
38587,15014,16855
38545,14986,16783
38498,14956,16713
38445,14923,16642
38390,14889,16567
38329,14850,16487
38263,14810,16405
38193,14768,16323
38126,14727,16244
38062,14686,16168
38000,14645,16092
37941,14606,16015
37884,14569,15937
37829,14535,15859
37773,14504,15785
37720,14477,15713
37669,14453,15641
37621,14431,15565
37572,14409,15486
37525,14382,15410
37480,14353,15336
37434,14323,15264
37382,14290,15188
37326,14257,15108
37272,14224,15026
37218,14194,14944
37166,14166,14865
37117,14138,14791
37067,14111,14717
37012,14084,14644
36956,14056,14574
36899,14028,14507
36842,13998,14438
36784,13967,14365
36728,13934,14292
36673,13901,14217
36621,13869,14141
36568,13836,14064
36513,13802,13990
36456,13768,13917
36399,13736,13845
36342,13707,13771
36286,13678,13693
36228,13644,13610
36168,13606,13525
36105,13567,13441
36041,13531,13359
35975,13496,13279
35912,13465,13202
35857,13438,13130
35816,13417,13068
35792,13401,13022
35785,13395,12997
35795,13398,12998
35827,13416,13032
35885,13452,13102
35973,13508,13214
36092,13582,13366
36236,13671,13551
36403,13772,13764
36591,13880,14000
36790,13994,14252
36997,14112,14517
37206,14233,14786
37411,14352,15052
37607,14467,15310
37793,14576,15556
37964,14679,15788
38121,14774,16002
38260,14858,16194
38379,14930,16364
38479,14990,16515
38561,15037,16641
38629,15074,16746
38689,15107,16833
38741,15136,16903
38784,15158,16958
38816,15172,17000
38840,15178,17029
38858,15176,17049
38872,15170,17062
38882,15163,17074
38891,15157,17084
38900,15152,17094
38908,15151,17104
38914,15154,17114
38920,15160,17129
38931,15168,17150
38950,15178,17174
38974,15191,17205
39001,15207,17241
39029,15223,17276
39059,15239,17309
39092,15255,17341
39124,15273,17373
39155,15291,17404
39185,15310,17434
39213,15328,17462
39238,15343,17488
39260,15352,17510
39277,15355,17525
39292,15356,17530
39304,15354,17528
39310,15347,17520
39308,15337,17506
39299,15322,17483
39284,15301,17450
39262,15274,17408
39240,15244,17360
39215,15213,17311
39186,15181,17260
39150,15152,17208
39110,15126,17156
39074,15104,17108
39042,15087,17065
39013,15073,17028
38990,15062,16996
38972,15055,16969
38958,15047,16947
38946,15036,16929
38939,15025,16919
38940,15019,16919
38944,15017,16925
