green_channel,red_channel,ir_channel
30001,11920,34438
29947,11872,34353
29892,11822,34267
29837,11772,34185
29796,11744,34122
29770,11731,34077
29749,11720,34035
29738,11716,34001
29745,11733,33992
29762,11763,33999
29783,11792,34007
29813,11824,34022
29857,11871,34059
29911,11928,34116
29978,11994,34188
30080,12089,34305
30243,12240,34506
30478,12457,34808
30791,12741,35212
31186,13096,35720
31645,13510,36322
32141,13956,36982
32663,14422,37670
33202,14907,38379
33738,15396,39090
34248,15862,39772
34724,16294,40410
35170,16696,41005
35576,17067,41553
35931,17398,42042
36238,17686,42467
36502,17935,42839
36723,18144,43161
36901,18314,43434
37040,18445,43654
37145,18543,43825
37217,18612,43952
37261,18649,44035
37280,18656,44078
37273,18636,44083
37242,18589,44050
37185,18516,43985
37109,18435,43899
37025,18354,43803
36924,18260,43689
36797,18140,43547
36661,18007,43388
36535,17878,43225
36414,17752,43058
36282,17619,42878
36143,17485,42694
36016,17362,42523
35902,17250,42364
35790,17144,42215
35686,17053,42080
35599,16978,41964
35523,16911,41865
35449,16847,41774
35384,16794,41694
35333,16755,41628
35289,16719,41567
35239,16673,41497
35182,16619,41421
35127,16567,41347
35067,16508,41271
35000,16434,41187
34935,16360,41096
34882,16302,41008
34833,16251,40927
34778,16195,40848
34721,16139,40772
34667,16090,40707
34613,16043,40644
34556,15995,40580
34508,15959,40524
34476,15937,40484
34450,15921,40452
34427,15906,40427
34415,15897,40412
34411,15892,40401
34404,15878,40387
34394,15860,40375
34388,15856,40376
34383,15856,40379
34370,15846,40374
34357,15832,40367
34356,15827,40368
34358,15826,40371
34352,15817,40361
34337,15801,40344
34318,15786,40325
34291,15771,40303
34255,15748,40273
34219,15723,40239
34191,15700,40203
34161,15675,40156
34118,15639,40089
34070,15595,40009
34016,15544,39923
33948,15478,39820
33867,15398,39705
33788,15318,39594
33710,15240,39490
33625,15158,39381
33531,15066,39261
33437,14974,39137
33340,14883,39012
33231,14785,38879
33112,14683,38736
32992,14585,38591
32876,14491,38449
32762,14397,38306
32651,14302,38164
32547,14215,38032
32448,14134,37911
32352,14051,37792
32260,13967,37671
32177,13890,37560
32100,13817,37458
32025,13739,37349
31955,13662,37234
31889,13596,37127
31823,13543,37032
31756,13487,36931
31689,13428,36826
31630,13377,36733
31580,13334,36654
31528,13281,36572
31475,13225,36482
31434,13179,36396
31399,13138,36311
31354,13086,36216
31300,13028,36120
31248,12978,36040
31197,12932,35967
31139,12877,35888
31078,12822,35809
31025,12778,35746
30978,12741,35695
30927,12698,35644
30881,12659,35597
30850,12632,35562
30828,12612,35535
30807,12592,35506
30793,12579,35482
30788,12580,35470
30779,12578,35458
30754,12557,35428
30720,12525,35385
30688,12495,35340
30653,12465,35294
30611,12428,35241
30567,12388,35185
30527,12353,35128
30482,12314,35066
30432,12271,34996
30388,12235,34932
30351,12210,34876
30305,12176,34813
30251,12134,34745
30209,12099,34687
30182,12072,34638
30148,12039,34585
30112,12005,34534
30085,11980,34493
30057,11955,34452
30013,11915,34393
29954,11863,34317
29894,11815,34242
29835,11763,34165
29768,11700,34078
29696,11637,33987
29626,11581,33896
29555,11523,33798
29473,11451,33686
29384,11368,33563
29294,11283,33437
29197,11192,33304
29091,11087,33164
28987,10982,33029
28886,10882,32902
28786,10785,32776
28691,10694,32653
28605,10616,32540
28521,10551,32437
28436,10488,32335
28356,10425,32233
28289,10372,32145
28235,10334,32077
28190,10309,32026
28168,10301,32005
28194,10333,32046
28297,10430,32187
28503,10612,32458
28824,10895,32881
29264,11288,33461
29803,11776,34171
30405,12321,34961
31031,12886,35785
31652,13445,36606
32241,13976,37393
32782,14462,38118
33269,14897,38765
33693,15281,39337
34050,15609,39828
34349,15879,40238
34601,16101,40579
34808,16287,40866
34962,16428,41095
35063,16519,41261
35129,16573,41373
35172,16609,41450
35192,16622,41493
35183,16605,41496
35154,16570,41469
35108,16524,41423
35041,16464,41351
34950,16382,41246
34846,16287,41116
34743,16194,40982
34637,16097,40847
34521,15990,40704
34409,15888,40556
34310,15799,40412
34212,15713,40269
34103,15615,40118
33987,15512,39967
33883,15426,39831
33786,15347,39708
33685,15262,39586
33592,15179,39466
33517,15107,39353
33453,15043,39246
33388,14977,39139
33324,14912,39035
33264,14852,38943
33200,14789,38856
33129,14723,38768
33060,14661,38681
32993,14605,38597
32921,14546,38510
32848,14487,38423
32782,14435,38344
32721,14389,38273
32666,14343,38209
32628,14308,38163
32611,14293,38138
32607,14289,38127
32606,14288,38122
32620,14301,38129
32659,14336,38157
32704,14378,38200
32741,14415,38249
32777,14454,38306
32821,14499,38370
32865,14542,38433
32900,14575,38488
32933,14603,38538
32967,14631,38584
32992,14650,38616
33006,14660,38634
33014,14668,38645
33020,14677,38658
33017,14677,38662
33006,14665,38654
32994,14651,38645
32978,14635,38632
32947,14603,38600
32906,14555,38548
32864,14506,38491
32818,14458,38434
32762,14402,38361
32699,14341,38269
32632,14280,38171
32554,14218,38071
32465,14147,37958
32365,14065,37829
32254,13974,37687
32132,13873,37540
32004,13761,37385
31876,13641,37222
31745,13520,37057
31610,13396,36892
31475,13269,36724
31346,13144,36557
31221,13028,36393
31094,12909,36223
30961,12780,36041
30826,12652,35859
30694,12533,35690
30560,12413,35528
30425,12290,35367
30301,12176,35216
30190,12075,35080
30082,11976,34949
29980,11881,34821
29891,11804,34702
29816,11748,34601
29749,11701,34514
29686,11649,34429
29632,11600,34356
29584,11561,34297
29531,11521,34235
29474,11474,34157
29420,11428,34073
29365,11382,33994
29300,11324,33910
29229,11254,33816
29167,11192,33735
29117,11146,33679
29062,11098,33623
29002,11041,33550
28951,10989,33481
28911,10946,33427
28864,10903,33371
28814,10861,33307
28779,10833,33254
28758,10820,33218
28730,10800,33182
28693,10770,33140
28667,10749,33109
28645,10734,33085
28606,10703,33042
28555,10653,32978
28514,10610,32923
28484,10579,32882
28448,10541,32830
28405,10496,32764
28369,10461,32708
28335,10434,32662
28290,10399,32609
28236,10354,32546
28183,10311,32484
28126,10265,32421
28053,10201,32339
27968,10124,32236
27879,10048,32121
27779,9965,31989
27663,9865,31835
27538,9754,31669
27415,9644,31503
27285,9526,31331
27142,9393,31148
27000,9259,30968
26874,9142,30810
26764,9044,30680
26672,8966,30580
26624,8932,30539
26651,8970,30597
26767,9087,30776
26988,9292,31093
27337,9613,31576
27817,10053,32226
28390,10577,32998
29015,11144,33831
29668,11740,34691
30316,12337,35543
30918,12893,36338
31459,13390,37051
31948,13840,37695
32379,14242,38270
32733,14573,38751
33013,14831,39137
33241,15044,39458
33429,15221,39729
33571,15351,39933
33672,15436,40073
33743,15495,40170
33783,15528,40228
33786,15527,40238
33763,15500,40210
33728,15463,40164
33680,15413,40103
33612,15343,40018
33530,15261,39914
33447,15183,39807
33357,15104,39694
33257,15008,39563
33153,14904,39424
33048,14806,39289
32934,14702,39148
32810,14586,38992
32687,14470,38830
32571,14365,38678
32454,14263,38530
32334,14153,38374
32218,14046,38217
32114,13952,38072
32007,13856,37929
31891,13746,37771
31779,13633,37613
31676,13524,37470
31564,13411,37330
31447,13296,37180
31346,13199,37037
31266,13122,36912
31187,13048,36792
31109,12980,36678
31053,12940,36596
31022,12930,36550
31000,12927,36519
30988,12925,36497
31002,12946,36508
31040,12993,36559
31088,13047,36623
31142,13105,36695
31205,13175,36787
31275,13250,36895
31341,13313,36994
31403,13365,37079
31463,13421,37170
31519,13478,37267
31569,13528,37354
31620,13576,37431
31680,13632,37510
31740,13689,37583
31784,13732,37640
31821,13768,37685
31862,13806,37727
31899,13833,37761
31921,13837,37775
31932,13829,37777
31939,13826,37775
31934,13819,37761
31905,13791,37721
31861,13749,37658
31809,13704,37583
31741,13646,37486
31649,13562,37360
31544,13463,37218
31436,13363,37075
31317,13257,36928
31181,13132,36763
31038,12994,36588
30902,12859,36415
30766,12726,36243
30629,12591,36069
30502,12468,35905
30391,12368,35759
30289,12280,35624
30195,12196,35493
30117,12129,35378
30052,12079,35282
29977,12020,35182
29889,11945,35069
29805,11872,34957
29727,11805,34846
29633,11720,34719
29527,11621,34577
29427,11531,34442
29335,11451,34314
29239,11361,34178
29143,11266,34038
29056,11181,33911
28973,11104,33794
28888,11019,33673
28801,10931,33554
28720,10858,33448
28638,10795,33351
28553,10733,33255
28480,10677,33166
28426,10637,33094
28383,10604,33037
28342,10571,32983
28311,10548,32939
28297,10543,32915
28288,10543,32901
28279,10537,32882
28280,10536,32867
28294,10548,32870
28305,10557,32875
28308,10556,32869
28316,10560,32865
28326,10572,32873
28324,10571,32866
28309,10555,32835
28289,10535,32796
28265,10515,32760
28232,10486,32717
28192,10452,32666
28151,10418,32612
28107,10386,32558
28062,10355,32501
28020,10324,32443
27974,10292,32388
27924,10255,32336
27875,10216,32278
27834,10180,32219
27794,10148,32161
27746,10107,32098
27691,10054,32022
27642,10000,31944
27597,9951,31876
27548,9904,31814
27502,9858,31763
27486,9835,31751
27519,9857,31799
27616,9938,31925
27797,10094,32157
28082,10354,32526
28475,10715,33038
28951,11155,33664
29485,11644,34363
30050,12159,35104
30623,12682,35859
31176,13189,36589
31698,13663,37270
32182,14102,37905
32619,14499,38488
32997,14842,39002
33321,15132,39445
33602,15383,39830
33838,15599,40156
34019,15771,40421
34147,15896,40628
34235,15989,40786
34295,16061,40903
34328,16102,40978
34336,16111,41013
34325,16095,41019
34300,16062,41001
34261,16012,40963
34206,15951,40904
34139,15883,40830
34066,15817,40748
33991,15749,40656
33915,15681,40557
33835,15611,40452
33745,15531,40338
33651,15443,40217
33566,15362,40099
33490,15291,39992
33413,15222,39889
33330,15148,39782
33255,15081,39681
33197,15031,39597
33151,14989,39522
33102,14942,39443
33055,14896,39368
33020,14859,39307
32997,14825,39250
32967,14784,39185
32929,14740,39117
32889,14698,39054
32842,14653,38990
32779,14598,38915
32711,14538,38835
32651,14482,38755
32591,14424,38671
32525,14359,38580
32463,14299,38494
32411,14253,38425
32364,14212,38371
32317,14166,38322
32278,14128,38286
32261,14117,38275
32262,14123,38285
32271,14137,38305
32292,14161,38335
32328,14198,38379
32368,14233,38423
32407,14260,38461
32453,14292,38505
32505,14333,38559
32549,14370,38607
32582,14397,38647
32619,14430,38692
32659,14468,38740
32682,14490,38771
32687,14493,38788
32698,14501,38807
32715,14517,38823
32719,14519,38814
32707,14507,38780
32690,14497,38747
32668,14485,38719
32623,14451,38674
32562,14400,38613
32505,14350,38548
32448,14300,38475
32376,14235,38382
32294,14162,38270
32208,14088,38152
32111,14003,38022
32000,13899,37871
31886,13790,37708
31774,13688,37552
31656,13584,37395
31530,13466,37227
31410,13350,37059
31302,13248,36907
31197,13146,36759
31083,13038,36606
30972,12938,36459
30872,12854,36334
30771,12774,36220
30669,12691,36108
30586,12623,36006
30518,12574,35919
30453,12522,35833
30393,12464,35746
30346,12414,35670
30301,12374,35601
30243,12325,35515
30176,12265,35414
30113,12207,35319
30054,12156,35236
29989,12099,35149
29924,12038,35059
29876,11997,34989
29844,11973,34942
29815,11949,34896
29790,11923,34854
29777,11909,34829
29772,11905,34817
29762,11897,34800
29749,11884,34779
29742,11877,34767
29737,11871,34763
29727,11858,34749
29719,11842,34728
29714,11829,34710
29700,11811,34684
29669,11778,34640
29633,11743,34590
29605,11718,34553
29584,11702,34526
29560,11684,34496
29539,11669,34469
29529,11663,34452
29518,11658,34434
29494,11637,34403
29464,11605,34366
29440,11578,34340
29417,11556,34316
29384,11526,34282
29350,11499,34242
29324,11480,34205
29293,11457,34163
29245,11421,34104
29192,11379,34039
29141,11338,33975
29082,11290,33906
29012,11232,33826
28944,11175,33742
28884,11123,33657
28812,11061,33561
28726,10988,33458
28645,10919,33360
28571,10854,33268
28495,10784,33177
28431,10722,33105
28413,10702,33090
28464,10743,33160
28588,10852,33323
28804,11044,33605
29136,11341,34035
29567,11732,34598
30059,12177,35242
30587,12650,35936
31137,13145,36660
31679,13640,37380
32187,14106,38063
32652,14535,38701
33080,14935,39294
33463,15300,39835
33793,15617,40311
34080,15893,40731
34331,16134,41102
34537,16333,41416
34693,16483,41664
34813,16594,41858
34913,16687,42016
34987,16757,42138
35028,16795,42215
35049,16811,42256
35059,16820,42274
35050,16812,42270
35017,16782,42241
34977,16742,42193
34937,16705,42137
34884,16657,42068
34813,16592,41981
34745,16529,41890
34687,16476,41803
34628,16416,41709
34566,16351,41610
34514,16299,41521
34470,16258,41444
34418,16211,41368
34359,16157,41291
34312,16117,41232
34279,16091,41190
34243,16060,41145
34209,16026,41102
34193,16010,41077
34187,16001,41064
34170,15978,41040
34140,15943,41000
34115,15913,40961
34091,15886,40922
34056,15850,40868
34019,15811,40808
33990,15783,40756
33962,15759,40709
