green_channel,red_channel,ir_channel
17608,49594,5264
17587,49576,5210
17547,49532,5129
17494,49470,5033
17458,49434,4966
17428,49409,4912
17376,49354,4827
17316,49289,4730
17272,49251,4658
17231,49219,4591
17170,49159,4493
17108,49092,4386
17066,49050,4303
17025,49009,4221
16965,48939,4110
16906,48871,4009
16868,48831,3943
16829,48788,3876
16776,48722,3786
16731,48668,3708
16705,48642,3663
16673,48606,3612
16622,48546,3537
16579,48501,3473
16554,48488,3434
16520,48463,3378
16471,48412,3292
16434,48374,3222
16414,48357,3180
16381,48321,3117
16330,48257,3028
16294,48212,2960
16273,48192,2914
16236,48151,2844
16182,48087,2751
16147,48050,2687
16130,48043,2651
16102,48017,2593
16062,47974,2520
16038,47952,2476
16021,47944,2447
15980,47907,2385
15933,47856,2307
15911,47837,2264
15899,47832,2239
15866,47800,2186
15828,47761,2126
15820,47762,2111
15834,47786,2131
15846,47802,2152
15876,47835,2206
15956,47923,2336
16065,48043,2520
16180,48161,2730
16316,48306,2988
16489,48501,3312
16679,48712,3661
16865,48906,4000
17060,49110,4354
17276,49344,4741
17481,49570,5116
17659,49764,5451
17837,49957,5779
18026,50162,6111
18196,50342,6404
18339,50483,6642
18477,50619,6866
18613,50764,7089
18719,50882,7268
18793,50962,7392
18863,51039,7504
18932,51119,7613
18970,51166,7677
18982,51175,7696
18998,51190,7717
19018,51213,7741
19011,51203,7721
18981,51163,7664
18961,51143,7622
18949,51138,7595
18915,51101,7540
18865,51044,7466
18836,51016,7422
18820,51007,7393
18781,50968,7329
18731,50913,7249
18700,50882,7195
18675,50857,7146
18627,50796,7056
18569,50721,6949
18524,50669,6863
18472,50618,6771
18395,50536,6641
18312,50446,6503
18247,50380,6396
18190,50321,6294
18119,50240,6168
18054,50161,6053
18013,50110,5977
17974,50065,5906
17919,50005,5816
17872,49956,5745
17849,49939,5713
17827,49917,5681
17791,49871,5630
17769,49846,5605
17775,49858,5622
17781,49869,5637
17774,49863,5635
17784,49879,5659
17817,49924,5715
17840,49953,5755
17849,49959,5773
17873,49981,5813
17913,50020,5875
17935,50035,5909
17938,50027,5915
17954,50042,5940
17982,50079,5980
17988,50089,5986
17977,50072,5966
17976,50072,5965
17979,50083,5966
17954,50062,5926
17917,50022,5864
17900,50009,5830
17889,50005,5807
17853,49967,5750
17804,49913,5680
17775,49885,5634
17752,49862,5588
17707,49807,5503
17656,49743,5409
17623,49706,5342
17588,49667,5273
17527,49595,5169
17461,49519,5061
17412,49470,4980
17361,49419,4897
17290,49338,4785
17223,49263,4681
17178,49219,4603
17127,49167,4512
17058,49087,4393
17000,49020,4287
16961,48983,4211
16910,48935,4128
16842,48865,4025
16788,48812,3943
16750,48785,3886
16699,48738,3808
16632,48666,3703
16578,48610,3616
16544,48578,3554
16498,48526,3472
16437,48451,3372
16393,48398,3300
16365,48370,3250
16323,48320,3174
16270,48252,3080
16240,48215,3017
16225,48206,2980
16194,48180,2924
16153,48144,2857
16132,48139,2826
16127,48149,2818
16110,48130,2783
16085,48099,2735
16078,48094,2717
16080,48095,2706
16062,48065,2661
16036,48023,2600
16025,48007,2562
16010,47994,2526
15970,47952,2462
