green_channel,red_channel,ir_channel
33447,2847,44317
33390,2822,44246
33328,2795,44172
33266,2770,44098
33206,2747,44025
33152,2725,43954
33103,2706,43890
33060,2686,43834
33026,2669,43787
33001,2656,43751
32983,2648,43724
32970,2642,43705
32961,2637,43695
32958,2636,43694
32960,2636,43702
32967,2640,43718
32980,2646,43739
32993,2653,43763
33006,2659,43786
33018,2663,43806
33031,2666,43818
33038,2667,43821
33035,2663,43813
33021,2656,43798
33005,2646,43777
32986,2636,43753
32962,2628,43723
32938,2619,43691
32915,2612,43659
32894,2605,43627
32872,2597,43595
32854,2590,43568
32843,2584,43546
32836,2579,43529
32833,2576,43516
32834,2575,43510
32838,2575,43510
32842,2579,43516
32848,2587,43528
32859,2599,43548
32878,2612,43572
32900,2624,43600
32920,2633,43627
32941,2640,43653
32962,2644,43677
32977,2645,43695
32984,2645,43704
32984,2644,43701
32981,2642,43690
32975,2635,43675
32963,2628,43656
32947,2622,43635
32930,2615,43612
32908,2605,43586
32879,2592,43553
32843,2576,43511
32800,2558,43461
32752,2539,43408
32701,2521,43351
32651,2502,43290
32600,2483,43227
32543,2462,43164
32481,2440,43098
32424,2419,43030
32370,2397,42961
32317,2374,42893
32265,2350,42828
32217,2329,42769
32170,2309,42712
32123,2291,42655
32076,2276,42602
32033,2264,42553
31992,2254,42506
31951,2245,42460
31911,2236,42417
31878,2227,42374
31846,2217,42331
31811,2203,42287
31776,2190,42244
31744,2179,42202
31715,2168,42161
31689,2156,42121
31666,2144,42083
31645,2132,42048
31626,2120,42017
31607,2109,41990
31587,2101,41966
31564,2095,41945
31541,2089,41925
31520,2083,41906
31501,2078,41887
31486,2074,41870
31473,2069,41852
31458,2062,41832
31441,2055,41809
31423,2047,41785
31403,2036,41760
31381,2025,41733
31361,2014,41703
31342,2004,41671
31322,1995,41635
31301,1986,41600
31278,1977,41564
31253,1967,41530
31223,1955,41495
31189,1942,41457
31153,1929,41416
31119,1915,41377
31083,1899,41340
31045,1883,41305
31011,1870,41270
30981,1858,41234
30950,1847,41198
30922,1836,41160
30896,1829,41120
30871,1822,41079
30844,1813,41038
30816,1803,40998
30787,1792,40958
30756,1782,40916
30722,1769,40874
30684,1754,40831
30643,1738,40786
30599,1722,40738
30553,1705,40687
30507,1690,40634
30459,1674,40582
30411,1658,40531
30361,1642,40482
30312,1625,40430
30266,1611,40377
30221,1597,40321
30176,1582,40262
30131,1566,40201
30089,1548,40140
