green_channel,red_channel,ir_channel
32507,53158,43824
32565,53208,43898
32601,53231,43940
32617,53232,43952
32609,53214,43935
32581,53179,43890
32535,53128,43822
32476,53061,43732
32404,52984,43625
32321,52899,43507
32231,52808,43378
32138,52712,43243
32042,52612,43104
31945,52511,42967
31849,52411,42832
31755,52312,42701
31660,52217,42577
31570,52131,42461
31486,52054,42353
31409,51979,42250
31339,51909,42154
31279,51848,42064
31223,51793,41981
31167,51739,41902
31108,51683,41825
31049,51625,41746
30992,51568,41667
30936,51511,41586
30880,51454,41502
30827,51400,41422
30781,51350,41350
30741,51305,41287
30705,51263,41232
30673,51228,41184
30645,51200,41145
30620,51179,41116
30599,51166,41095
30585,51161,41085
30580,51163,41082
30579,51170,41087
30583,51179,41100
30594,51191,41118
30611,51208,41138
30630,51229,41162
30652,51252,41191
30675,51278,41226
30700,51304,41264
30726,51329,41299
30750,51352,41330
30770,51373,41357
30786,51389,41381
30799,51402,41401
30809,51413,41419
30816,51423,41434
30820,51428,41443
30821,51429,41445
30819,51423,41441
30811,51411,41430
30798,51391,41408
30776,51361,41372
30745,51323,41324
30706,51279,41267
30661,51233,41200
30614,51181,41122
30563,51122,41035
30508,51058,40944
30446,50992,40850
30376,50924,40749
30302,50854,40644
30225,50782,40536
30147,50708,40424
30072,50632,40310
30000,50558,40196
29929,50487,40083
29855,50414,39969
29781,50338,39853
29706,50259,39736
29629,50180,39622
29550,50102,39509
29470,50023,39400
29391,49945,39294
29314,49870,39191
29239,49797,39090
29169,49728,38990
29103,49665,38894
29042,49607,38802
28982,49550,38714
28920,49494,38630
28862,49439,38553
28810,49387,38482
28763,49337,38413
28719,49290,38344
28677,49245,38278
28636,49200,38216
28599,49156,38157
28564,49117,38101
28532,49082,38050
28506,49051,38003
28483,49026,37959
28461,49005,37917
28438,48985,37881
28414,48964,37847
28389,48942,37812
28362,48919,37775
28336,48899,37737
28312,48881,37697
28290,48863,37656
28269,48843,37615
28245,48818,37575
28216,48784,37534
28183,48745,37489
28147,48707,37443
28111,48669,37396
28077,48630,37349
28044,48590,37300
28013,48553,37248
27983,48517,37194
27950,48481,37138
27916,48444,37080
27879,48408,37019
27840,48369,36958
27799,48328,36895
27755,48284,36830
27708,48238,36766
27660,48195,36702
27615,48157,36640
27577,48126,36586
27552,48103,36550
27547,48095,36545
27567,48110,36579
27618,48160,36659
27704,48251,36788
27828,48385,36972
27989,48556,37211
