green_channel,red_channel,ir_channel,Anomaly_ch0,Anomaly_ch1,Anomaly_ch2
56994,33686,10484,1,0,0
56963,33651,10426,1,0,0
56928,33627,10372,1,0,0
56880,33613,10322,1,0,0
56852,33612,10281,1,0,0
56870,33617,10252,1,0,0
56915,33622,10229,1,0,0
56966,33621,10209,1,0,0
57037,33609,10195,1,0,0
57132,33586,10185,1,0,0
57221,33552,10170,1,0,0
57284,33508,10148,1,0,0
57343,33456,10123,1,0,0
57401,33400,10090,1,0,0
57422,33341,10041,1,0,0
57399,33283,9979,1,0,0
57365,33228,9912,1,0,0
57333,33179,9846,1,0,0
57285,33139,9780,1,0,0
57225,33114,9717,1,0,0
57182,33105,9655,1,0,0
57166,33108,9593,1,0,0
57159,33117,9529,1,0,0
57166,33135,9470,1,0,0
57208,33159,9417,1,0,0
57279,33178,9367,1,0,0
57356,33184,9319,1,0,0
57439,33175,9276,1,0,0
57542,33151,9239,1,0,0
57654,33119,9205,1,0,0
57742,33087,9172,1,0,0
57801,33063,9137,1,0,0
57846,33045,9101,1,0,0
57873,33033,9061,1,0,0
57862,33032,9019,1,0,0
57827,33044,8974,1,0,0
57800,33067,8927,1,0,0
57774,33095,8879,1,0,0
57733,33116,8833,1,0,0
57696,33127,8786,1,0,0
57688,33124,8734,1,0,0
57695,33107,8681,1,0,0
57703,33079,8631,1,0,0
57734,33050,8584,1,0,0
57803,33022,8537,1,0,0
57868,32994,8489,1,0,0
57898,32972,8440,1,0,0
57906,32959,8393,1,0,0
57900,32955,8348,1,0,0
57852,32960,8303,1,0,0
57756,32971,8257,1,0,0
57644,32993,8209,1,0,0
57533,33019,8155,1,0,0
57402,33047,8097,1,0,0
57253,33078,8044,1,0,0
57129,33115,8006,1,0,0
57049,33161,7982,1,0,0
56982,33210,7976,1,0,0
56923,33261,7991,1,0,0
56894,33315,8035,1,0,0
56894,33373,8103,1,0,0
56895,33435,8189,1,0,0
56899,33504,8292,1,0,0
56922,33582,8410,1,0,0
56941,33667,8541,1,0,0
56915,33755,8683,1,0,0
